Results.reception.time,id,condition,phase,PennElementName,item,exposure,word,word_type,target_selection,target_typed,target_typed_edited,target_superordinate_typed,target_superordinate_selected,selected_object,Value,edited_value,typed_matches_guess_exactly,superordinate_selection,superordinate,typed_matches_guess_super,target_selected,selection,Comments
1702073033,10701,Confirm,learning,learning_selector,1,1,plyder,Foil,car,foil,foil,other,super-electronic,headphone,obj2_1,NA,NA,super-electronic,NA,0,0,foil1,obj3_1;obj2_1;obj4_1;obj1_1
1702073033,10701,Confirm,learning,input,1,1,plyder,Foil,car,foil,foil,other,super-electronic,headphone,headphones,headphone,1,super-electronic,super-electronic,1,0,foil1,NULL
1702073033,10701,Confirm,learning,learning_selector,2,1,heek,Foil,pineapple,foil,foil,other,super-tool,scissors,obj4_1,NA,NA,super-tool,NA,0,0,foil1,obj3_1;obj4_1;obj1_1;obj2_1
1702073033,10701,Confirm,learning,input,2,1,heek,Foil,pineapple,foil,foil,other,super-tool,scissors,NA,other,0,super-tool,other,0,0,foil1,NULL
1702073033,10701,Confirm,learning,learning_selector,3,1,kuabid,Target,bed,bed,bed,super-furniture,super-furniture,bed,obj3_1,NA,NA,super-furniture,NA,0,1,target,obj3_1;obj4_1;obj1_1;obj2_1
1702073033,10701,Confirm,learning,input,3,1,kuabid,Target,bed,bed,bed,super-furniture,super-furniture,bed,bed,bed,1,super-furniture,super-furniture,1,1,target,NULL
1702073033,10701,Confirm,learning,learning_selector,4,1,yate,One-shot,glove,glove,glove,super-clothes,super-clothes,glove,obj1_1,NA,NA,super-clothes,NA,0,1,target,obj3_1;obj4_1;obj2_1;obj1_1
1702073033,10701,Confirm,learning,input,4,1,yate,One-shot,glove,glove,glove,super-clothes,super-clothes,glove,glove,glove,1,super-clothes,super-clothes,1,1,target,NULL
1702073033,10701,Confirm,learning,learning_selector,5,2,kuabid,Target,bed,bed,bed,super-furniture,super-furniture,bed,obj1_3,NA,NA,super-furniture,NA,0,1,target,obj1_3;obj2_2;obj3_4;obj4_1
1702073033,10701,Confirm,learning,input,5,2,kuabid,Target,bed,bed,bed,super-furniture,super-furniture,bed,bed,bed,1,super-furniture,super-furniture,1,1,target,NULL
