experiment,id,condition,phase,item,exposure,word,word_type,target_referent,selected_object,target_selected,selection,input
2,52281,Recall,learning,1,1,plyder,filler,NA,car,0,foil1,NA
2,52281,Recall,learning,2,1,heek,filler,NA,pineapple,0,foil1,NA
2,52281,Recall,learning,3,1,kuabid,target,NA,orchid,1,target,NA
2,52281,Recall,learning,4,1,yate,one-shot,NA,chair,1,target,NA
2,52281,Recall,learning,5,2,kuabid,target,NA,0,0,NA,NA
2,52281,Recall,learning,6,1,dax,target,NA,bookcase,1,target,NA
2,52281,Recall,learning,7,1,fendle,one-shot,NA,pliers,1,target,NA
2,52281,Recall,learning,8,2,dax,target,NA,0,0,NA,NA
2,52281,Recall,learning,9,1,smick,target,NA,dress,1,target,NA
2,52281,Recall,learning,10,1,mipen,one-shot,NA,flute,1,target,NA
2,52281,Recall,learning,11,2,smick,target,NA,0,0,NA,NA
2,52281,Recall,learning,12,1,channer,target,NA,clarinet,1,target,NA
2,52281,Recall,learning,13,1,zum,one-shot,NA,palm,1,target,NA
2,52281,Recall,learning,14,2,channer,target,NA,0,0,NA,NA
2,52281,Recall,learning,15,1,toma,filler,NA,skateboard,0,foil1,NA
2,52281,Recall,learning,16,1,ruftin,filler,NA,pinecone,0,foil1,NA
2,52281,Recall,learning,17,1,nortle,filler,NA,guitar,0,foil1,NA
2,52281,Recall,learning,18,3,kuabid,target,NA,0,0,NA,NA
2,52281,Recall,learning,19,1,blicket,filler,NA,phone,0,foil1,NA
2,52281,Recall,learning,20,3,dax,target,NA,0,0,NA,NA
2,52281,Recall,learning,21,2,plyder,filler,NA,notebook,0,foil2,NA
2,52281,Recall,learning,22,2,heek,filler,NA,mitt,1,target,NA
2,52281,Recall,learning,23,2,toma,filler,NA,dresser,1,target,NA
2,52281,Recall,learning,24,3,smick,target,NA,0,0,NA,NA
2,52281,Recall,learning,25,2,ruftin,filler,NA,keyboard,0,foil2,NA
2,52281,Recall,learning,26,3,channer,target,NA,0,0,NA,NA
2,52281,Recall,learning,27,2,nortle,filler,NA,bike,0,foil2,NA
2,52281,Recall,learning,28,2,blicket,filler,NA,screwdriver,1,target,NA
2,52281,Recall,test,29,test,kuabid,target,NA,orchid,1,target,NA
2,52281,Recall,test,30,test,dax,target,NA,bookcase,1,target,NA
2,52281,Recall,test,31,test,smick,target,NA,dress,1,target,NA
2,52281,Recall,test,32,test,channer,target,NA,clarinet,1,target,NA
2,52281,Recall,test,33,test,yate,one-shot,NA,chair,1,target,NA
2,52281,Recall,test,34,test,fendle,one-shot,NA,pliers,1,target,NA
2,52281,Recall,test,35,test,mipen,one-shot,NA,flute,1,target,NA
2,52281,Recall,test,36,test,zum,one-shot,NA,palm,1,target,NA
2,52281,Recall,test,37,test,plyder,filler,NA,notebook,0,foil2,NA
2,52281,Recall,test,38,test,heek,filler,NA,mitt,1,target,NA
