experiment,id,condition,phase,item,exposure,word,word_type,selected_object,target_selected,input
3,1,Confirm-first,learning,1,1,glemp,filler,glove,0,obj1_1
3,1,Confirm-first,learning,2,1,heek,filler,broccoli,0,obj1_1
3,1,Confirm-first,learning,3,1,toma,filler,bus,0,obj1_1
3,1,Confirm-first,learning,4,1,ruftin,filler,saw,0,obj3_1
3,1,Confirm-first,learning,5,1,nortle,filler,acorn,0,obj1_1
3,1,Confirm-first,learning,6,1,vep,filler,notebook,0,obj3_1
3,1,Confirm-first,learning,7,1,kuabid,filler,skateboard,0,obj3_1
3,1,Confirm-first,learning,8,1,dax,filler,plane,0,obj4_1
3,1,Confirm-first,learning,9,1,smick,filler,pencil,0,obj3_1
3,1,Confirm-first,learning,10,1,channer,filler,screwdriver,0,obj3_1
3,1,Confirm-first,learning,11,1,yate,target,orchid,1,obj1_1
3,1,Confirm-first,learning,12,1,fendle,target,bike,1,obj1_1
3,1,Confirm-first,learning,13,1,mipen,target,dress,1,obj2_1
3,1,Confirm-first,learning,14,1,zum,target,clarinet,1,obj3_1
3,1,Confirm-first,learning,15,2,yate,target,orchid,1,obj1_1
3,1,Confirm-first,learning,16,2,fendle,target,bike,1,obj1_1
3,1,Confirm-first,learning,17,2,mipen,target,dress,1,obj1_2
3,1,Confirm-first,learning,18,2,zum,target,clarinet,1,obj1_3
3,1,Confirm-first,learning,19,1,yate,target,sunflower,0,obj4_1
3,1,Confirm-first,learning,20,1,fendle,target,printer,0,obj3_1
3,1,Confirm-first,learning,21,1,mipen,target,shovel,0,obj1_1
3,1,Confirm-first,learning,22,1,zum,target,train,0,obj2_1
3,1,Confirm-first,learning,23,2,glemp,filler,headphone,0,obj4_3
3,1,Confirm-first,learning,24,2,heek,filler,wrench,1,obj3_3
3,1,Confirm-first,learning,25,2,toma,filler,flute,1,obj1_1
3,1,Confirm-first,learning,26,2,ruftin,filler,hat,1,obj1_3
3,1,Confirm-first,learning,27,2,nortle,filler,shirt,1,obj3_4
3,1,Confirm-first,learning,28,2,vep,filler,shirt,0,obj4_3
3,1,Confirm-first,learning,29,2,kuabid,filler,dresser,1,obj1_3
3,1,Confirm-first,learning,30,2,dax,filler,stapler,1,obj3_1
3,1,Confirm-first,learning,31,2,smick,filler,keyboard,1,obj1_3
3,1,Confirm-first,learning,32,2,channer,filler,harp,1,obj1_3
3,1,Confirm-first,learning,33,3,glemp,filler,helmet,1,obj1_2
3,1,Confirm-first,learning,34,3,heek,filler,drum,1,obj1_1
3,1,Confirm-first,learning,35,3,toma,filler,flute,1,obj1_1
3,1,Confirm-first,learning,36,3,ruftin,filler,hat,1,obj1_3
3,1,Confirm-first,learning,37,3,nortle,filler,headphone,1,obj1_1
3,1,Confirm-first,learning,38,3,vep,filler,shirt,0,obj3_1
3,1,Confirm-first,learning,39,3,kuabid,filler,dresser,1,obj1_3
3,1,Confirm-first,learning,40,3,dax,filler,shoe,1,obj1_4
3,1,Confirm-first,learning,41,3,smick,filler,keyboard,1,obj1_3
3,1,Confirm-first,learning,42,3,channer,filler,harp,1,obj1_3
3,1,Confirm-first,test,43,test,glemp,filler,dress,0,foil4_2
3,1,Confirm-first,test,44,test,heek,filler,drum,1,target_1
3,1,Confirm-first,test,45,test,toma,filler,flute,1,target_1
3,1,Confirm-first,test,46,test,ruftin,filler,hat,1,target_3
3,1,Confirm-first,test,47,test,nortle,filler,headphone,1,target_1
3,1,Confirm-first,test,48,test,vep,filler,shirt,0,foil2_3_3
3,1,Confirm-first,test,49,test,kuabid,filler,dresser,1,target_3
3,1,Confirm-first,test,50,test,dax,filler,shoe,1,target_4
3,1,Confirm-first,test,51,test,smick,filler,keyboard,1,target_3
3,1,Confirm-first,test,52,test,channer,filler,harp,1,target_3
3,1,Confirm-first,test,53,test,yate,target,orchid,1,target_1
3,1,Confirm-first,test,54,test,fendle,target,bike,1,target_1
3,1,Confirm-first,test,55,test,mipen,target,dress,1,target_2
3,1,Confirm-first,test,56,test,zum,target,train,0,foil3_1_2
3,1,Confirm-first,debrief,other languages,NA,NA,NA,NA,NA,yes
3,1,Confirm-first,debrief,Cheat,NA,NA,NA,NA,NA,My data is good
3,1,Confirm-first,debrief,Strategies,NA,NA,NA,NA,NA,I tried to remember what was/wasn't shown for a certain word%2C and tried to narrow down its possible meanings based on what I could remember
3,1,Confirm-first,debrief,WriteDown,NA,NA,NA,NA,NA,No%2C I didn't do anything outside of remembering/thinking
3,1,Confirm-first,debrief,Other,NA,NA,NA,NA,NA,NA
3,2,Conflict-first,learning,1,1,glemp,filler,eraser,0,obj4_1
3,2,Conflict-first,learning,2,1,heek,filler,pliers,0,obj3_1
3,2,Conflict-first,learning,3,1,toma,filler,flute,0,obj2_1
3,2,Conflict-first,learning,4,1,ruftin,filler,palm,0,obj2_1
3,2,Conflict-first,learning,5,1,nortle,filler,acorn,0,obj1_1
3,2,Conflict-first,learning,6,1,vep,filler,mitt,0,obj2_1
3,2,Conflict-first,learning,7,1,kuabid,filler,paperclip,0,obj2_1
3,2,Conflict-first,learning,8,1,dax,filler,plane,0,obj4_1
3,2,Conflict-first,learning,9,1,smick,filler,pencil,0,obj3_1
3,2,Conflict-first,learning,10,1,channer,filler,screwdriver,0,obj3_1
3,2,Conflict-first,learning,11,1,yate,target,sunflower,0,obj4_1
3,2,Conflict-first,learning,12,1,fendle,target,ruler,0,obj4_1
3,2,Conflict-first,learning,13,1,mipen,target,stapler,0,obj4_1
3,2,Conflict-first,learning,14,1,zum,target,train,0,obj2_1
3,2,Conflict-first,learning,15,1,yate,target,ball,1,obj4_1
3,2,Conflict-first,learning,16,1,fendle,target,bookcase,1,obj3_1
3,2,Conflict-first,learning,17,1,mipen,target,hammer,1,obj3_1
3,2,Conflict-first,learning,18,1,zum,target,clarinet,1,obj3_1
3,2,Conflict-first,learning,19,2,yate,target,ball,1,obj1_4
3,2,Conflict-first,learning,20,2,fendle,target,bookcase,1,obj1_3
3,2,Conflict-first,learning,21,2,mipen,target,hammer,1,obj1_3
3,2,Conflict-first,learning,22,2,zum,target,clarinet,1,obj1_3
3,2,Conflict-first,learning,23,2,glemp,filler,glove,1,obj1_4
3,2,Conflict-first,learning,24,2,heek,filler,rose,1,obj1_3
3,2,Conflict-first,learning,25,2,toma,filler,stapler,0,obj2_2
3,2,Conflict-first,learning,26,2,ruftin,filler,saw,1,obj1_2
3,2,Conflict-first,learning,27,2,nortle,filler,dresser,0,obj2_1
3,2,Conflict-first,learning,28,2,vep,filler,tuba,1,obj3_4
3,2,Conflict-first,learning,29,2,kuabid,filler,sandwich,0,obj2_2
3,2,Conflict-first,learning,30,2,dax,filler,wrench,0,obj4_2
3,2,Conflict-first,learning,31,2,smick,filler,keyboard,1,obj1_3
3,2,Conflict-first,learning,32,2,channer,filler,hammer,0,obj4_1
3,2,Conflict-first,learning,33,3,glemp,filler,glove,1,obj1_4
3,2,Conflict-first,learning,34,3,heek,filler,plane,0,obj3_2
3,2,Conflict-first,learning,35,3,toma,filler,keyboard,0,obj4_2
3,2,Conflict-first,learning,36,3,ruftin,filler,screwdriver,0,obj3_4
3,2,Conflict-first,learning,37,3,nortle,filler,bookcase,0,obj4_4
3,2,Conflict-first,learning,38,3,vep,filler,flute,0,obj2_4
3,2,Conflict-first,learning,39,3,kuabid,filler,dresser,1,obj1_3
3,2,Conflict-first,learning,40,3,dax,filler,bike,0,obj4_3
3,2,Conflict-first,learning,41,3,smick,filler,eraser,0,obj4_1
3,2,Conflict-first,learning,42,3,channer,filler,scissors,0,obj3_1
3,2,Conflict-first,test,43,test,glemp,filler,glove,1,target_4
3,2,Conflict-first,test,44,test,heek,filler,rose,1,target_3
3,2,Conflict-first,test,45,test,toma,filler,screwdriver,0,foil2_2_4
3,2,Conflict-first,test,46,test,ruftin,filler,stapler,0,foil2_2_4
3,2,Conflict-first,test,47,test,nortle,filler,paperclip,0,foil3_1_3
3,2,Conflict-first,test,48,test,vep,filler,tuba,0,foil2_2_4
3,2,Conflict-first,test,49,test,kuabid,filler,pliers,0,foil3_4_3
3,2,Conflict-first,test,50,test,dax,filler,plane,0,foil1_3_1
