experiment,condition,id,phase,block,word_type,item,word,word_i,exposure,accuracy,selection,correct1,correct2,correct3,value,value1,value2,value3
4,same,1,learning,warm-up,filler,1,glemp,5,1,0,obj1_1,0,NA,NA,glove,glove,NA,NA
4,same,1,learning,warm-up,filler,2,heek,6,1,0,obj1_1,0,NA,NA,broccoli,broccoli,NA,NA
4,same,1,learning,warm-up,filler,3,toma,7,1,0,obj2_1,0,NA,NA,flute,flute,NA,NA
4,same,1,learning,warm-up,filler,4,blicket,8,1,0,obj1_1,0,NA,NA,desk,desk,NA,NA
4,same,1,learning,warm-up,filler,5,nortle,9,1,0,obj1_1,0,NA,NA,acorn,acorn,NA,NA
4,same,1,learning,warm-up,filler,6,vep,10,1,0,obj2_1,0,NA,NA,mitt,mitt,NA,NA
4,same,1,learning,warm-up,filler,7,kuabid,11,1,0,obj4_1,0,NA,NA,dresser,dresser,NA,NA
4,same,1,learning,warm-up,filler,8,wug,12,1,0,obj2_1,0,NA,NA,racket,racket,NA,NA
4,same,1,learning,warm-up,filler,9,smick,13,1,0,obj1_1,0,NA,NA,sandwich,sandwich,NA,NA
4,same,1,learning,warm-up,filler,10,channer,14,1,0,obj4_1,0,NA,NA,harp,harp,NA,NA
4,same,1,learning,pre-flush,target,11,yate,1,1,1,obj2_1,1,NA,NA,apple,apple,NA,NA
4,same,1,learning,pre-flush,target,12,fendle,2,1,1,obj4_1,1,NA,NA,camera,camera,NA,NA
4,same,1,learning,pre-flush,target,13,mipen,3,1,1,obj4_1,1,NA,NA,bat,bat,NA,NA
4,same,1,learning,pre-flush,target,14,dax,4,1,1,obj4_1,1,NA,NA,computer,computer,NA,NA
4,same,1,learning,pre-flush,target,15,yate,1,2,1,obj1_2,1,1,NA,apple,apple,apple,NA
4,same,1,learning,pre-flush,target,16,fendle,2,2,1,obj1_4,1,1,NA,camera,camera,camera,NA
4,same,1,learning,pre-flush,target,17,mipen,3,2,1,obj1_4,1,1,NA,bat,bat,bat,NA
4,same,1,learning,pre-flush,target,18,dax,4,2,1,obj1_4,1,1,NA,computer,computer,computer,NA
4,same,1,learning,pre-flush,target,19,yate,1,3,1,obj1_2,1,1,1,apple,apple,apple,apple
4,same,1,learning,pre-flush,target,20,fendle,2,3,1,obj1_4,1,1,1,camera,camera,camera,camera
4,same,1,learning,pre-flush,target,21,mipen,3,3,1,obj1_4,1,1,1,bat,bat,bat,bat
4,same,1,learning,pre-flush,target,22,dax,4,3,1,obj1_4,1,1,1,computer,computer,computer,computer
4,same,1,learning,flush,filler,23,glemp,5,2,0,obj2_1,0,0,NA,helmet,glove,helmet,NA
4,same,1,learning,flush,filler,24,heek,6,2,0,obj4_4,0,0,NA,helicopter,broccoli,helicopter,NA
4,same,1,learning,flush,filler,25,toma,7,2,0,obj4_4,0,0,NA,screwdriver,flute,screwdriver,NA
4,same,1,learning,flush,filler,26,blicket,8,2,0,obj2_1,0,0,NA,saw,desk,saw,NA
4,same,1,learning,flush,filler,27,nortle,9,2,0,obj4_2,0,0,NA,bus,acorn,bus,NA
4,same,1,learning,flush,filler,28,vep,10,2,0,obj3_1,0,0,NA,marker,mitt,marker,NA
4,same,1,learning,flush,filler,29,kuabid,11,2,0,obj2_4,0,0,NA,paperclip,dresser,paperclip,NA
4,same,1,learning,flush,filler,30,wug,12,2,1,obj1_2,0,1,NA,pinecone,racket,pinecone,NA
4,same,1,learning,flush,filler,31,smick,13,2,0,obj4_1,0,0,NA,eraser,sandwich,eraser,NA
4,same,1,learning,flush,filler,32,channer,14,2,1,obj1_4,0,1,NA,lamp,harp,lamp,NA
4,same,1,learning,flush,filler,33,glemp,5,3,1,obj1_2,0,0,1,helmet,glove,helmet,helmet
