experiment,condition,model,learning_space_size,subject,phase,trial_index,exposure,word,selection,accuracy,previous_correct
expt1_2,recall,might,8,300,learning,1,1,A,a2,0.0,
expt1_2,recall,might,8,300,learning,2,1,B,b2,0.0,
expt1_2,recall,might,8,300,learning,3,1,R1,r1,1.0,
expt1_2,recall,might,8,300,learning,4,1,W1,w1,1.0,
expt1_2,recall,might,8,300,learning,5,2,R1,,,1.0
expt1_2,recall,might,8,300,learning,6,1,R2,r2,1.0,
expt1_2,recall,might,8,300,learning,7,1,W2,w2,1.0,
expt1_2,recall,might,8,300,learning,8,2,R2,,,1.0
expt1_2,recall,might,8,300,learning,9,1,R3,r3,1.0,
expt1_2,recall,might,8,300,learning,10,1,W3,w3,1.0,
expt1_2,recall,might,8,300,learning,11,2,R3,,,1.0
expt1_2,recall,might,8,300,learning,12,1,R4,r4,1.0,
expt1_2,recall,might,8,300,learning,13,1,W4,w4,1.0,
expt1_2,recall,might,8,300,learning,14,2,R4,,,1.0
expt1_2,recall,might,8,300,learning,15,1,C,c2,0.0,
expt1_2,recall,might,8,300,learning,16,1,D,d2,0.0,
expt1_2,recall,might,8,300,learning,17,1,E,e2,0.0,
expt1_2,recall,might,8,300,learning,18,3,R1,,,
expt1_2,recall,might,8,300,learning,19,1,F,f2,0.0,
expt1_2,recall,might,8,300,learning,20,3,R2,,,
expt1_2,recall,might,8,300,learning,21,2,A,a,1.0,0.0
expt1_2,recall,might,8,300,learning,22,2,B,d4,0.0,0.0
expt1_2,recall,might,8,300,learning,23,2,C,r42,0.0,0.0
expt1_2,recall,might,8,300,learning,24,3,R3,,,
expt1_2,recall,might,8,300,learning,25,2,D,e3,0.0,0.0
expt1_2,recall,might,8,300,learning,26,3,R4,,,
expt1_2,recall,might,8,300,learning,27,2,E,e,1.0,0.0
expt1_2,recall,might,8,300,learning,28,2,F,w13,0.0,0.0
expt1_2,recall,might,8,300,testing,1,1,R1,r4,0.0,
expt1_2,recall,might,8,300,testing,2,1,R2,r23,0.0,
expt1_2,recall,might,8,300,testing,3,1,R3,r3,1.0,
expt1_2,recall,might,8,300,testing,4,1,R4,r4,1.0,
expt1_2,recall,might,8,300,testing,5,1,W1,w14,0.0,1.0
expt1_2,recall,might,8,300,testing,6,1,W2,e4,0.0,1.0
expt1_2,recall,might,8,300,testing,7,1,W3,w3,1.0,1.0
expt1_2,recall,might,8,300,testing,8,1,W4,w4,1.0,1.0
expt1_2,recall,might,8,300,testing,9,1,A,a4,0.0,1.0
expt1_2,recall,might,8,300,testing,10,1,B,d4,0.0,0.0
expt1_2,recall,might,8,300,testing,11,1,C,r42,0.0,0.0
expt1_2,recall,might,8,300,testing,12,1,D,e3,0.0,0.0
expt1_2,recall,might,8,300,testing,13,1,E,e2,0.0,1.0
expt1_2,recall,might,8,300,testing,14,1,F,w13,0.0,0.0
expt1_2,recall,might,7,299,learning,1,1,A,a2,0.0,
expt1_2,recall,might,7,299,learning,2,1,B,b2,0.0,
expt1_2,recall,might,7,299,learning,3,1,R1,r1,1.0,
expt1_2,recall,might,7,299,learning,4,1,W1,w1,1.0,
expt1_2,recall,might,7,299,learning,5,2,R1,,,1.0
expt1_2,recall,might,7,299,learning,6,1,R2,r2,1.0,
expt1_2,recall,might,7,299,learning,7,1,W2,w2,1.0,
expt1_2,recall,might,7,299,learning,8,2,R2,,,1.0
expt1_2,recall,might,7,299,learning,9,1,R3,r3,1.0,
expt1_2,recall,might,7,299,learning,10,1,W3,w3,1.0,
expt1_2,recall,might,7,299,learning,11,2,R3,,,1.0
expt1_2,recall,might,7,299,learning,12,1,R4,r4,1.0,
expt1_2,recall,might,7,299,learning,13,1,W4,w4,1.0,
expt1_2,recall,might,7,299,learning,14,2,R4,,,1.0
expt1_2,recall,might,7,299,learning,15,1,C,c2,0.0,
expt1_2,recall,might,7,299,learning,16,1,D,d2,0.0,
expt1_2,recall,might,7,299,learning,17,1,E,e2,0.0,
expt1_2,recall,might,7,299,learning,18,3,R1,,,
expt1_2,recall,might,7,299,learning,19,1,F,f2,0.0,
expt1_2,recall,might,7,299,learning,20,3,R2,,,
expt1_2,recall,might,7,299,learning,21,2,A,c3,0.0,0.0
expt1_2,recall,might,7,299,learning,22,2,B,w32,0.0,0.0
expt1_2,recall,might,7,299,learning,23,2,C,r42,0.0,0.0
expt1_2,recall,might,7,299,learning,24,3,R3,,,
expt1_2,recall,might,7,299,learning,25,2,D,d,1.0,0.0
expt1_2,recall,might,7,299,learning,26,3,R4,,,
expt1_2,recall,might,7,299,learning,27,2,E,c4,0.0,0.0
expt1_2,recall,might,7,299,learning,28,2,F,w13,0.0,0.0
expt1_2,recall,might,7,299,testing,1,1,R1,r1,1.0,
expt1_2,recall,might,7,299,testing,2,1,R2,r2,1.0,
expt1_2,recall,might,7,299,testing,3,1,R3,r34,0.0,
expt1_2,recall,might,7,299,testing,4,1,R4,r4,1.0,
expt1_2,recall,might,7,299,testing,5,1,W1,r13,0.0,1.0
expt1_2,recall,might,7,299,testing,6,1,W2,d4,0.0,1.0
expt1_2,recall,might,7,299,testing,7,1,W3,b3,0.0,1.0
expt1_2,recall,might,7,299,testing,8,1,W4,w42,0.0,1.0
expt1_2,recall,might,7,299,testing,9,1,A,a4,0.0,0.0
expt1_2,recall,might,7,299,testing,10,1,B,b,1.0,0.0
expt1_2,recall,might,7,299,testing,11,1,C,r42,0.0,0.0
expt1_2,recall,might,7,299,testing,12,1,D,d,1.0,1.0
expt1_2,recall,might,7,299,testing,13,1,E,c4,0.0,0.0
expt1_2,recall,might,7,299,testing,14,1,F,w13,0.0,0.0
expt1_2,recall,might,6,298,learning,1,1,A,a2,0.0,
expt1_2,recall,might,6,298,learning,2,1,B,b2,0.0,
expt1_2,recall,might,6,298,learning,3,1,R1,r1,1.0,
expt1_2,recall,might,6,298,learning,4,1,W1,w1,1.0,
expt1_2,recall,might,6,298,learning,5,2,R1,,,1.0
expt1_2,recall,might,6,298,learning,6,1,R2,r2,1.0,
expt1_2,recall,might,6,298,learning,7,1,W2,w2,1.0,
expt1_2,recall,might,6,298,learning,8,2,R2,,,1.0
expt1_2,recall,might,6,298,learning,9,1,R3,r3,1.0,
expt1_2,recall,might,6,298,learning,10,1,W3,w3,1.0,
expt1_2,recall,might,6,298,learning,11,2,R3,,,1.0
expt1_2,recall,might,6,298,learning,12,1,R4,r4,1.0,
expt1_2,recall,might,6,298,learning,13,1,W4,w4,1.0,
expt1_2,recall,might,6,298,learning,14,2,R4,,,1.0
expt1_2,recall,might,6,298,learning,15,1,C,c2,0.0,
expt1_2,recall,might,6,298,learning,16,1,D,d2,0.0,
