sample,model,condition,words,meanings,response,accuracy,memory_size
0,might,2,b,B,B,1,9.5
0,might,2,c,C,C,1,9.5
0,might,2,d,D,D,1,9.5
0,might,2,e,E,E,1,9.5
0,might,2,f,F,F,1,9.5
0,might,2,g,G,G,1,9.5
0,might,2,h,H,H,1,9.5
0,might,2,i,I,I,1,9.5
0,might,2,j,J,J,1,9.5
0,might,2,k,K,K,1,9.5
0,might,2,l,L,L,1,9.5
0,might,2,m,M,M,1,9.5
0,might,2,n,N,N,1,9.5
0,might,2,o,O,O,1,9.5
0,might,2,p,P,P,1,9.5
0,might,2,q,Q,Q,1,9.5
0,might,2,r,R,F,0,9.5
1,might,2,a,A,K,0,9.5
1,might,2,b,B,B,1,9.5
1,might,2,c,C,C,1,9.5
1,might,2,d,D,D,1,9.5
1,might,2,e,E,E,1,9.5
1,might,2,f,F,F,1,9.5
1,might,2,g,G,G,1,9.5
1,might,2,h,H,H,1,9.5
1,might,2,i,I,I,1,9.5
1,might,2,j,J,J,1,9.5
1,might,2,k,K,K,1,9.5
1,might,2,l,L,L,1,9.5
1,might,2,m,M,M,1,9.5
1,might,2,n,N,N,1,9.5
1,might,2,o,O,O,1,9.5
1,might,2,p,P,P,1,9.5
1,might,2,q,Q,Q,1,9.5
1,might,2,r,R,R,1,9.5
2,might,2,a,A,A,1,9.5
2,might,2,b,B,B,1,9.5
2,might,2,c,C,C,1,9.5
2,might,2,d,D,D,1,9.5
2,might,2,e,E,E,1,9.5
2,might,2,f,F,F,1,9.5
2,might,2,g,G,G,1,9.5
2,might,2,h,H,I,0,9.5
2,might,2,i,I,I,1,9.5
2,might,2,j,J,J,1,9.5
2,might,2,k,K,K,1,9.5
2,might,2,l,L,L,1,9.5
2,might,2,m,M,M,1,9.5
2,might,2,n,N,N,1,9.5
2,might,2,o,O,O,1,9.5
2,might,2,p,P,P,1,9.5
2,might,2,q,Q,Q,1,9.5
2,might,2,r,R,P,0,9.5
3,might,2,a,A,A,1,9.5
3,might,2,b,B,B,1,9.5
3,might,2,c,C,C,1,9.5
3,might,2,d,D,D,1,9.5
3,might,2,e,E,E,1,9.5
3,might,2,f,F,F,1,9.5
3,might,2,g,G,G,1,9.5
3,might,2,h,H,H,1,9.5
3,might,2,i,I,M,0,9.5
3,might,2,j,J,J,1,9.5
3,might,2,k,K,A,0,9.5
3,might,2,l,L,L,1,9.5
3,might,2,m,M,M,1,9.5
3,might,2,n,N,N,1,9.5
3,might,2,o,O,O,1,9.5
3,might,2,p,P,P,1,9.5
3,might,2,q,Q,Q,1,9.5
3,might,2,r,R,R,1,9.5
4,might,2,a,A,A,1,9.5
4,might,2,b,B,B,1,9.5
4,might,2,c,C,C,1,9.5
4,might,2,d,D,D,1,9.5
4,might,2,e,E,E,1,9.5
4,might,2,f,F,F,1,9.5
4,might,2,g,G,G,1,9.5
4,might,2,h,H,H,1,9.5
4,might,2,i,I,I,1,9.5
4,might,2,j,J,J,1,9.5
4,might,2,k,K,K,1,9.5
4,might,2,l,L,L,1,9.5
4,might,2,m,M,M,1,9.5
4,might,2,n,N,N,1,9.5
4,might,2,o,O,O,1,9.5
4,might,2,p,P,J,0,9.5
4,might,2,q,Q,C,0,9.5
4,might,2,r,R,R,1,9.5
5,might,2,a,A,K,0,9.5
5,might,2,b,B,B,1,9.5
5,might,2,c,C,C,1,9.5
5,might,2,d,D,D,1,9.5
5,might,2,e,E,E,1,9.5
5,might,2,f,F,F,1,9.5
5,might,2,g,G,G,1,9.5
5,might,2,h,H,H,1,9.5
5,might,2,i,I,I,1,9.5
5,might,2,j,J,J,1,9.5
5,might,2,k,K,K,1,9.5
5,might,2,l,L,L,1,9.5
5,might,2,m,M,M,1,9.5
5,might,2,n,N,N,1,9.5
5,might,2,o,O,O,1,9.5
5,might,2,p,P,P,1,9.5
5,might,2,q,Q,Q,1,9.5
5,might,2,r,R,R,1,9.5
6,might,2,a,A,D,0,9.5
6,might,2,b,B,B,1,9.5
6,might,2,c,C,C,1,9.5
6,might,2,d,D,D,1,9.5
6,might,2,e,E,E,1,9.5
6,might,2,f,F,F,1,9.5
