experiment,condition,model,learning_space_size,subject,phase,trial_index,exposure,word,selection,accuracy,previous_correct
yurovsky,exp1_both,pursuit,NA,300,learning,1,1,A,k,0,
yurovsky,exp1_both,pursuit,NA,300,learning,1,1,C,b1,0,
yurovsky,exp1_both,pursuit,NA,300,learning,1,1,B,a1,0,
yurovsky,exp1_both,pursuit,NA,300,learning,1,1,K,c1,0,
yurovsky,exp1_both,pursuit,NA,300,learning,2,2,B,d1,0,0.0
yurovsky,exp1_both,pursuit,NA,300,learning,2,1,I,i,1,
yurovsky,exp1_both,pursuit,NA,300,learning,2,1,D,e1,0,
yurovsky,exp1_both,pursuit,NA,300,learning,2,1,E,d1,0,
yurovsky,exp1_both,pursuit,NA,300,learning,3,2,D,f1,0,0.0
yurovsky,exp1_both,pursuit,NA,300,learning,3,1,G,g,1,
yurovsky,exp1_both,pursuit,NA,300,learning,3,1,F,a1,0,
yurovsky,exp1_both,pursuit,NA,300,learning,3,2,A,f1,0,0.0
yurovsky,exp1_both,pursuit,NA,300,learning,4,2,F,b1,0,0.0
yurovsky,exp1_both,pursuit,NA,300,learning,4,3,B,b1,1,0.0
yurovsky,exp1_both,pursuit,NA,300,learning,4,1,L,l,1,
yurovsky,exp1_both,pursuit,NA,300,learning,4,2,C,b1,0,0.0
yurovsky,exp1_both,pursuit,NA,300,learning,5,3,C,c1,1,0.0
yurovsky,exp1_both,pursuit,NA,300,learning,5,3,A,l,0,0.0
yurovsky,exp1_both,pursuit,NA,300,learning,5,3,D,c1,0,0.0
yurovsky,exp1_both,pursuit,NA,300,learning,5,2,L,l,1,1.0
yurovsky,exp1_both,pursuit,NA,300,learning,6,4,A,h,0,0.0
yurovsky,exp1_both,pursuit,NA,300,learning,6,2,E,a1,0,0.0
yurovsky,exp1_both,pursuit,NA,300,learning,6,3,F,e1,0,0.0
yurovsky,exp1_both,pursuit,NA,300,learning,6,1,H,f1,0,
yurovsky,exp1_both,pursuit,NA,300,learning,7,4,F,d1,0,0.0
yurovsky,exp1_both,pursuit,NA,300,learning,7,4,D,f1,0,0.0
yurovsky,exp1_both,pursuit,NA,300,learning,7,2,K,d1,0,0.0
yurovsky,exp1_both,pursuit,NA,300,learning,7,4,B,b1,1,1.0
yurovsky,exp1_both,pursuit,NA,300,learning,8,1,J,j,1,
yurovsky,exp1_both,pursuit,NA,300,learning,8,5,A,j,0,0.0
yurovsky,exp1_both,pursuit,NA,300,learning,8,3,E,a1,0,0.0
yurovsky,exp1_both,pursuit,NA,300,learning,8,4,C,c1,1,1.0
yurovsky,exp1_both,pursuit,NA,300,learning,9,5,B,b1,1,1.0
yurovsky,exp1_both,pursuit,NA,300,learning,9,4,E,b1,0,0.0
yurovsky,exp1_both,pursuit,NA,300,learning,9,2,H,e1,0,0.0
yurovsky,exp1_both,pursuit,NA,300,learning,9,5,D,d1,1,0.0
yurovsky,exp1_both,pursuit,NA,300,learning,10,2,J,j,1,1.0
yurovsky,exp1_both,pursuit,NA,300,learning,10,2,I,i,1,1.0
yurovsky,exp1_both,pursuit,NA,300,learning,10,5,F,b1,0,0.0
yurovsky,exp1_both,pursuit,NA,300,learning,10,6,B,b1,1,1.0
yurovsky,exp1_both,pursuit,NA,300,learning,11,6,A,k,0,0.0
yurovsky,exp1_both,pursuit,NA,300,learning,11,5,E,a1,0,0.0
yurovsky,exp1_both,pursuit,NA,300,learning,11,2,G,g,1,1.0
yurovsky,exp1_both,pursuit,NA,300,learning,11,3,K,e1,0,0.0
yurovsky,exp1_both,pursuit,NA,300,learning,12,5,C,c1,1,1.0
yurovsky,exp1_both,pursuit,NA,300,learning,12,6,E,e1,1,0.0
yurovsky,exp1_both,pursuit,NA,300,learning,12,3,J,j,1,1.0
yurovsky,exp1_both,pursuit,NA,300,learning,12,6,F,e1,0,0.0
yurovsky,exp1_both,pursuit,NA,300,learning,13,6,D,e2,0,1.0
yurovsky,exp1_both,pursuit,NA,300,learning,13,4,J,j,1,1.0
yurovsky,exp1_both,pursuit,NA,300,learning,13,6,C,c1,1,1.0
yurovsky,exp1_both,pursuit,NA,300,learning,13,7,E,j,0,1.0
yurovsky,exp1_both,pursuit,NA,300,learning,14,7,D,c2,0,0.0
yurovsky,exp1_both,pursuit,NA,300,learning,14,7,C,h,0,1.0
yurovsky,exp1_both,pursuit,NA,300,learning,14,3,H,a2,0,0.0
yurovsky,exp1_both,pursuit,NA,300,learning,14,7,A,h,0,0.0
yurovsky,exp1_both,pursuit,NA,300,learning,15,3,L,l,1,1.0
yurovsky,exp1_both,pursuit,NA,300,learning,15,7,B,l,0,1.0
yurovsky,exp1_both,pursuit,NA,300,learning,15,8,E,e2,1,0.0
yurovsky,exp1_both,pursuit,NA,300,learning,15,4,H,e2,0,0.0
yurovsky,exp1_both,pursuit,NA,300,learning,16,8,A,c2,0,0.0
yurovsky,exp1_both,pursuit,NA,300,learning,16,8,C,c2,1,0.0
yurovsky,exp1_both,pursuit,NA,300,learning,16,7,F,a2,0,0.0
