experiment,condition,model,learning_space_size,subject,phase,trial_index,exposure,word,selection,accuracy,previous_correct
trueswell,exp1,trace_0.01,8,5000,learning,1,1,heek,ball,0,
trueswell,exp1,trace_0.01,8,5000,learning,2,1,smick,eye,0,
trueswell,exp1,trace_0.01,8,5000,learning,3,1,skoog,door,0,
trueswell,exp1,trace_0.01,8,5000,learning,4,1,toop,bird,0,
trueswell,exp1,trace_0.01,8,5000,learning,5,1,irp,hand,1,
trueswell,exp1,trace_0.01,8,5000,learning,6,1,yate,shoe,1,
trueswell,exp1,trace_0.01,8,5000,learning,7,1,moke,fish,1,
trueswell,exp1,trace_0.01,8,5000,learning,8,1,zud,bear,1,
trueswell,exp1,trace_0.01,8,5000,learning,9,1,quab,fish,0,
trueswell,exp1,trace_0.01,8,5000,learning,10,1,wode,dog,0,
trueswell,exp1,trace_0.01,8,5000,learning,11,1,glemp,bird,1,
trueswell,exp1,trace_0.01,8,5000,learning,12,1,jix,cat,1,
trueswell,exp1,trace_0.01,8,5000,learning,13,2,heek,book,1,0.0
trueswell,exp1,trace_0.01,8,5000,learning,14,2,smick,car,0,0.0
trueswell,exp1,trace_0.01,8,5000,learning,15,2,skoog,cat,0,0.0
trueswell,exp1,trace_0.01,8,5000,learning,16,2,toop,shoe,0,0.0
trueswell,exp1,trace_0.01,8,5000,learning,17,2,irp,ball,0,1.0
trueswell,exp1,trace_0.01,8,5000,learning,18,2,yate,book,0,1.0
trueswell,exp1,trace_0.01,8,5000,learning,19,2,moke,fish,1,1.0
trueswell,exp1,trace_0.01,8,5000,learning,20,2,zud,bear,1,1.0
trueswell,exp1,trace_0.01,8,5000,learning,21,2,quab,shoe,0,0.0
trueswell,exp1,trace_0.01,8,5000,learning,22,2,wode,cat,0,0.0
trueswell,exp1,trace_0.01,8,5000,learning,23,2,glemp,bird,1,1.0
trueswell,exp1,trace_0.01,8,5000,learning,24,2,jix,cat,1,1.0
trueswell,exp1,trace_0.01,8,5000,learning,25,3,heek,eye,0,1.0
trueswell,exp1,trace_0.01,8,5000,learning,26,3,smick,car,0,0.0
trueswell,exp1,trace_0.01,8,5000,learning,27,3,skoog,shoe,0,0.0
trueswell,exp1,trace_0.01,8,5000,learning,28,3,toop,cat,0,0.0
trueswell,exp1,trace_0.01,8,5000,learning,29,3,irp,hand,1,0.0
trueswell,exp1,trace_0.01,8,5000,learning,30,3,yate,hand,0,0.0
trueswell,exp1,trace_0.01,8,5000,learning,31,3,moke,fish,1,1.0
trueswell,exp1,trace_0.01,8,5000,learning,32,3,zud,bear,1,1.0
trueswell,exp1,trace_0.01,8,5000,learning,33,3,quab,ball,0,0.0
trueswell,exp1,trace_0.01,8,5000,learning,34,3,wode,cat,0,0.0
trueswell,exp1,trace_0.01,8,5000,learning,35,3,glemp,eye,0,1.0
