experiment,condition,model,memory,avg_accuracy,squared_error,ape
Exp2,Confirm Filler,expt1,3,0.16456666666666692,5.541798882314385e-4,0.1669272727272745
Exp2,Confirm Filler,expt1,3.5,0.1766333333333323,0.00126790775147921,0.2524909090909018
Exp2,Confirm Filler,expt1,4,0.18086666666666665,0.00158730732412885,0.2825090909090906
Exp2,Confirm Filler,expt1,4.5,0.1864000000000005,0.00205883245233403,0.32174545454545816
Exp2,Confirm Filler,expt1,5,0.18616666666666776,0.00203771219592383,0.32009090909091703
Exp2,Confirm Filler,expt1,5.5,0.19093333333333307,0.00249077775147926,0.3538909090909072
Exp2,Confirm Filler,expt1,6,0.1904000000000013,0.00243782732412899,0.3501090909091001
Exp2,Confirm Filler,expt1,6.5,0.1924000000000006,0.00263932476002636,0.3642909090909134
Exp2,Confirm Filler,expt1,7,0.18843333333333312,0.0022474892899408,0.3361636363636349
Exp2,Confirm Filler,expt1,7.5,0.18556666666666688,0.00198390296515452,0.31583636363636514
Exp2,Confirm Filler,expt1,8,0.18369999999999911,0.00182110091387237,0.3025999999999937
Exp2,Confirm Filler,expt1,8.5,0.183133333333333,0.00177305775147926,0.2985818181818159
Exp2,Confirm Filler,expt1,9,0.17986666666666618,0.00150862527284677,0.27541818181817834
Exp2,Confirm Filler,expt1,9.5,0.17266666666666658,0.00100115450361603,0.22436363636363577
Exp2,Confirm Filler,expt1,10,0.17196666666666618,9.573470677185764e-4,0.2193999999999966
Exp2,Confirm Filler,expt1,10.5,0.16893333333333369,7.788392899408482e-4,0.1978909090909116
Exp2,Confirm Filler,expt1,11,0.1641999999999999,5.370509138724478e-4,0.16432727272727204
Exp2,Confirm Filler,expt1,11.5,0.15906666666666647,3.2547860618013753e-4,0.12792727272727134
Exp2,Confirm Filler,expt1,12,0.15043333333333384,8.850467455622249e-5,0.06670909090909448
Exp2,Confirm Filler,expt1,12.5,0.1459666666666669,2.4413734385275277e-5,0.03503636363636538
Exp2,Confirm One-shot,expt1,3,0.11845000000000032,0.11335221380834956,0.7397436619718303
Exp2,Confirm One-shot,expt1,3.5,0.11845000000000022,0.11335221380834962,0.7397436619718305
Exp2,Confirm One-shot,expt1,4,0.11910000000000023,0.11291495464168291,0.7383154929577459
Exp2,Confirm One-shot,expt1,4.5,0.12789999999999996,0.10707829823142671,0.7189802816901409
Exp2,Confirm One-shot,expt1,5,0.13249999999999987,0.10408895874424728,0.70887323943662
Exp2,Confirm One-shot,expt1,5.5,0.14729999999999982,0.09475820387245244,0.6763549295774651
Exp2,Confirm One-shot,expt1,6,0.1714499999999999,0.08047332406476006,0.623292957746479
Exp2,Confirm One-shot,expt1,6.5,0.1932999999999997,0.06855400900065761,0.5752845070422542
Exp2,Confirm One-shot,expt1,7,0.21720000000000103,0.05660983079552876,0.5227718309859132
Exp2,Confirm One-shot,expt1,7.5,0.25335000000000024,0.04071444406475993,0.4433436619718305
Exp2,Confirm One-shot,expt1,8,0.2940500000000001,0.02594618816732409,0.35391830985915473
Exp2,Confirm One-shot,expt1,8.5,0.3375499999999998,0.01382463432117032,0.258340845070423
Exp2,Confirm One-shot,expt1,9,0.3774999999999999,0.0060261382314267,0.17056338028169038
Exp2,Confirm One-shot,expt1,9.5,0.4346500000000003,4.193568852728337e-4,0.04499436619718239
Exp2,Confirm One-shot,expt1,10,0.4819500000000001,7.194086801446475e-4,0.05893239436619742
Exp2,Confirm One-shot,expt1,10.5,0.5481000000000001,0.00864375464168313,0.2042760563380285
Exp2,Confirm One-shot,expt1,11,0.6093999999999995,0.023799786692965,0.33896338028168904
Exp2,Confirm One-shot,expt1,11.5,0.6785000000000003,0.04989495874424735,0.49078873239436693
Exp2,Confirm One-shot,expt1,12,0.7402499999999999,0.08129443791091379,0.6264647887323941
Exp2,Confirm One-shot,expt1,12.5,0.7976000000000005,0.11728693028270912,0.7524732394366209
Exp2,Confirm Target,expt1,3,0.2146999999999997,0.41508944963182154,0.7500507462686571
Exp2,Confirm Target,expt1,3.5,0.26905,0.34801074931130827,0.6867776119402985
Exp2,Confirm Target,expt1,4,0.338449999999999,0.2709456082856684,0.6059835820895535
Exp2,Confirm Target,expt1,4.5,0.4185499999999994,0.19397361597797547,0.5127328358208961
Exp2,Confirm Target,expt1,5,0.4903999999999999,0.13584705809335967,0.4290865671641792
Exp2,Confirm Target,expt1,5.5,0.5590999999999994,0.08992463117028306,0.34910746268656784
Exp2,Confirm Target,expt1,6,0.6295999999999989,0.05261259655489855,0.2670328358208967
Exp2,Confirm Target,expt1,6.5,0.6919999999999998,0.02788043655489813,0.19438805970149267
Exp2,Confirm Target,expt1,7,0.7431000000000011,0.01342686706771834,0.13489850746268525
Exp2,Confirm Target,expt1,7.5,0.7966999999999993,0.0038780957856674,0.07249850746268732
Exp2,Confirm Target,expt1,8,0.8325,7.008916831032178e-4,0.03082089552238797
Exp2,Confirm Target,expt1,8.5,0.8714500000000002,1.5564161900066302e-4,0.01452388059701518
Exp2,Confirm Target,expt1,9,0.9036500000000006,0.001995912901052,0.05201044776119482
Exp2,Confirm Target,expt1,9.5,0.92955,0.00498092110618015,0.08216268656716423
Exp2,Confirm Target,expt1,10,0.9519,0.00863517476002628,0.10818208955223872
Exp2,Confirm Target,expt1,10.5,0.9693999999999998,0.012193822195923699,0.12855522388059687
Exp2,Confirm Target,expt1,11,0.9833500000000002,0.01546930008053917,0.14479552238805998
Exp2,Confirm Target,expt1,11.5,0.9933,0.01804337783694938,0.15637910447761197
Exp2,Confirm Target,expt1,12,0.9963000000000002,0.01885833168310328,0.15987164179104507
Exp2,Confirm Target,expt1,12.5,0.9993,0.0196912855292571,0.1633641791044778
Exp2,Retrieval Filler,expt1,3,0.17053333333333276,4.216177777777544e-4,0.13688888888888512
Exp2,Retrieval Filler,expt1,3.5,0.1772333333333331,7.416544444444322e-4,0.18155555555555408
Exp2,Retrieval Filler,expt1,4,0.18146666666666691,9.901511111111271e-4,0.20977777777777948
Exp2,Retrieval Filler,expt1,4.5,0.1875666666666668,0.00141125444444445,0.25044444444444536
Exp2,Retrieval Filler,expt1,5,0.18803333333333336,0.00144653444444444,0.25355555555555576
Exp2,Retrieval Filler,expt1,5.5,0.18786666666666788,0.00143388444444453,0.2524444444444526
Exp2,Retrieval Filler,expt1,6,0.1911333333333335,0.00169195111111112,0.2742222222222233
Exp2,Retrieval Filler,expt1,6.5,0.19293333333333365,0.00184327111111113,0.2862222222222244
Exp2,Retrieval Filler,expt1,7,0.19226666666666656,0.0017864711111111,0.2817777777777771
Exp2,Retrieval Filler,expt1,7.5,0.18870000000000023,0.00149769000000001,0.25800000000000156
Exp2,Retrieval Filler,expt1,8,0.1911666666666665,0.00169469444444443,0.2744444444444435
Exp2,Retrieval Filler,expt1,8.5,0.18906666666666663,0.00152620444444444,0.2604444444444445
Exp2,Retrieval Filler,expt1,9,0.1859000000000004,0.00128881000000002,0.23933333333333603
Exp2,Retrieval Filler,expt1,9.5,0.1830000000000001,0.001089,0.22000000000000097
Exp2,Retrieval Filler,expt1,10,0.17760000000000006,7.617600000000038e-4,0.18400000000000047
Exp2,Retrieval Filler,expt1,10.5,0.174033333333334,5.77601111111144e-4,0.1602222222222268
Exp2,Retrieval Filler,expt1,11,0.170766666666667,4.31254444444459e-4,0.13844444444444678
Exp2,Retrieval Filler,expt1,11.5,0.15753333333333336,5.6751111111111576e-5,0.05022222222222243
Exp2,Retrieval Filler,expt1,12,0.1554666666666661,2.9884444444438165e-5,0.03644444444444061
Exp2,Retrieval Filler,expt1,12.5,0.14643333333333303,1.272111111111306e-5,0.0237777777777796
