experiment,condition,model,memory,avg_accuracy,squared_error,ape,word_type
Exp3,Confirm-first,might_10.0,10,0.2425300000000008,0.00419736485002964,0.2108150793650767,filler
Exp3,Confirm-first,might_10.0,10,0.2425300000000008,0.0545972181335597,0.49068699999999826,filler
Exp3,Confirm-first,might_10.5,10.5,0.2463650000000017,0.00371515522381002,0.1983361111111057,filler
Exp3,Confirm-first,might_10.5,10.5,0.2463650000000017,0.05281974950617836,0.4826334999999965,filler
Exp3,Confirm-first,might_11.0,11,0.2535800000000005,0.00288767303295651,0.17485873015872844,filler
Exp3,Confirm-first,might_11.0,11,0.2535800000000005,0.04955542410975032,0.4674819999999989,filler
Exp3,Confirm-first,might_11.5,11.5,0.2561500000000032,0.00261806937685868,0.1664960317460213,filler
Exp3,Confirm-first,might_11.5,11.5,0.2561500000000032,0.0484178111621301,0.4620849999999933,filler
Exp3,Confirm-first,might_12.0,12,0.2599499999999974,0.00224363962076169,0.1541309523809608,filler
Exp3,Confirm-first,might_12.0,12,0.2599499999999974,0.04675994354308501,0.4541050000000054,filler
Exp3,Confirm-first,might_12.5,12.5,0.26447999999999827,0.00183501483783477,0.1393904761904818,filler
Exp3,Confirm-first,might_12.5,12.5,0.26447999999999827,0.0448213257287989,0.4445920000000036,filler
Exp3,Confirm-first,might_3,3,0.16689500000000126,0.01971835863356597,0.4569289682539641,filler
Exp3,Confirm-first,might_3,3,0.16689500000000126,0.09566369159189264,0.6495204999999974,filler
Exp3,Confirm-first,might_3.5,3.5,0.16959999999999942,0.01896599224271283,0.4481269841269861,filler
Exp3,Confirm-first,might_3.5,3.5,0.16959999999999942,0.09399772009070329,0.6438400000000012,filler
Exp3,Confirm-first,might_4.0,4,0.17417999999999675,0.01772548025246963,0.43322380952382006,filler
Exp3,Confirm-first,might_4.0,4,0.17417999999999675,0.09121032772880013,0.6342220000000067,filler
Exp3,Confirm-first,might_4.5,4.5,0.1816650000000005,0.01578844349210279,0.4088678571428556,filler
Exp3,Confirm-first,might_4.5,4.5,0.1816650000000005,0.08674525612522647,0.618503499999999,filler
Exp3,Confirm-first,might_5.0,5,0.18604000000000337,0.0147081284768582,0.3946317460317352,filler
Exp3,Confirm-first,might_5.0,5,0.18604000000000337,0.08418729883355815,0.609315999999993,filler
Exp3,Confirm-first,might_5.5,5.5,0.1900549999999996,0.01375039380429813,0.3815670634920648,filler
Exp3,Confirm-first,might_5.5,5.5,0.1900549999999996,0.08187351073475078,0.6008845000000008,filler
Exp3,Confirm-first,might_6.0,6,0.19749000000000017,0.01206198600124922,0.357373809523809,filler
Exp3,Confirm-first,might_6.0,6,0.19749000000000017,0.07767395542879808,0.5852709999999997,filler
Exp3,Confirm-first,might_6.5,6.5,0.2023749999999987,0.01101283872137148,0.34147817460317886,filler
Exp3,Confirm-first,might_6.5,6.5,0.2023749999999987,0.07497491500141794,0.5750125000000027,filler
Exp3,Confirm-first,might_7.0,7,0.20895999999999929,0.00967411384271281,0.320050793650796,filler
Exp3,Confirm-first,might_7.0,7,0.20895999999999929,0.07141212740498905,0.5611840000000016,filler
Exp3,Confirm-first,might_7.5,7.5,0.21417000000000097,0.00867637724027346,0.3030976190476159,filler
Exp3,Confirm-first,might_7.5,7.5,0.21417000000000097,0.06865472994308337,0.5502429999999979,filler
Exp3,Confirm-first,might_8.0,8,0.22006499999999868,0.00761292427259095,0.28391547619048046,filler
Exp3,Confirm-first,might_8.0,8,0.22006499999999868,0.06560025955379885,0.5378635000000027,filler
Exp3,Confirm-first,might_8.5,8.5,0.22743999999999867,0.00638034681832263,0.25991746031746465,filler
Exp3,Confirm-first,might_8.5,8.5,0.22743999999999867,0.06187679940498931,0.5223760000000027,filler
Exp3,Confirm-first,might_9.0,9,0.23155000000000112,0.00574064937685884,0.24654365079364715,filler
Exp3,Confirm-first,might_9.0,9,0.23155000000000112,0.05984896259070239,0.5137449999999977,filler
Exp3,Confirm-first,might_9.5,9.5,0.2348400000000005,0.00525292613539552,0.23583809523809365,filler
Exp3,Confirm-first,might_9.5,9.5,0.2348400000000005,0.05825005235736937,0.506835999999999,filler
Exp3,Confirm-first,might_10.0,10,0.5554875000000009,0.06158856075262166,0.8075386904761934,target
Exp3,Confirm-first,might_10.0,10,0.5554875000000009,0.00628801798504833,0.16652375000000197,target
Exp3,Confirm-first,might_10.5,10.5,0.5639750000000007,0.06587329140429839,0.8351567460317483,target
Exp3,Confirm-first,might_10.5,10.5,0.5639750000000007,0.00770612262046497,0.18434750000000147,target
Exp3,Confirm-first,might_11.0,11,0.5746999999999995,0.0714936295597856,0.8700555555555541,target
Exp3,Confirm-first,might_11.0,11,0.5746999999999995,0.00970412628117905,0.2068699999999991,target
Exp3,Confirm-first,might_11.5,11.5,0.5886125000000005,0.07912711715506053,0.9153263888888906,target
Exp3,Confirm-first,might_11.5,11.5,0.5886125000000005,0.01263871143742926,0.2360862500000012,target
Exp3,Confirm-first,might_12.0,12,0.5959750000000004,0.08332339872137143,0.9392837301587312,target
Exp3,Confirm-first,might_12.0,12,0.5959750000000004,0.01434833214427447,0.2515475000000008,target
Exp3,Confirm-first,might_12.5,12.5,0.6144875000000003,0.09435367111847504,0.9995228174603183,target
Exp3,Confirm-first,might_12.5,12.5,0.6144875000000003,0.01912606679457208,0.2904237500000007,target
Exp3,Confirm-first,might_3,3,0.3964499999999988,0.00794467864515148,0.2900357142857104,target
Exp3,Confirm-first,might_3,3,0.3964499999999988,0.00635854354308408,0.16745500000000246,target
Exp3,Confirm-first,might_3.5,3.5,0.41488750000000046,0.01157139672823106,0.3500307539682555,target
Exp3,Confirm-first,might_3.5,3.5,0.41488750000000046,0.00375805488981003,0.12873624999999897,target
Exp3,Confirm-first,might_4.0,4,0.4292250000000001,0.01486154262381025,0.39668452380952407,target
Exp3,Confirm-first,might_4.0,4,0.4292250000000001,0.00220575595379817,0.09862749999999978,target
Exp3,Confirm-first,might_4.5,4.5,0.4439999999999997,0.01868222248661502,0.4447619047619037,target
Exp3,Confirm-first,might_4.5,4.5,0.4439999999999997,0.00103622675736963,0.06760000000000063,target
Exp3,Confirm-first,might_5.0,5,0.45780000000000065,0.02264511126710311,0.4896666666666688,target
Exp3,Confirm-first,might_5.0,5,0.45780000000000065,3.3820961451244675e-4,0.03861999999999858,target
Exp3,Confirm-first,might_5.5,5.5,0.47017500000000034,0.02652270433112741,0.529934523809525,target
Exp3,Confirm-first,might_5.5,5.5,0.47017500000000034,3.61859537981815e-5,0.01263249999999922,target
Exp3,Confirm-first,might_6.0,6,0.48419999999999913,0.03128756980368798,0.5755714285714257,target
Exp3,Confirm-first,might_6.0,6,0.48419999999999913,6.41524716553153e-5,0.01681999999999823,target
Exp3,Confirm-first,might_6.5,6.5,0.4926125000000001,0.03433439520384077,0.602945436507937,target
Exp3,Confirm-first,might_6.5,6.5,0.4926125000000001,2.696828660005717e-4,0.03448625000000031,target
Exp3,Confirm-first,might_7.0,7,0.5036375000000008,0.03854170999042642,0.6388204365079393,target
Exp3,Confirm-first,might_7.0,7,0.5036375000000008,7.533391160006149e-4,0.05763875000000184,target
Exp3,Confirm-first,might_7.5,7.5,0.5131375000000008,0.04236204810018251,0.6697331349206376,target
Exp3,Confirm-first,might_7.5,7.5,0.5131375000000008,0.00136508256838158,0.07758875000000175,target
Exp3,Confirm-first,might_8.0,8,0.5197125000000011,0.04511181733798754,0.6911279761904799,target
Exp3,Confirm-first,might_8.0,8,0.5197125000000011,0.00189416655647685,0.09139625000000244,target
Exp3,Confirm-first,might_8.5,8.5,0.5307749999999987,0.04993344506283403,0.7271249999999957,target
Exp3,Confirm-first,might_8.5,8.5,0.5307749999999987,0.00297947023951232,0.11462749999999726,target
Exp3,Confirm-first,might_9.0,9,0.5378624999999994,0.0531511938318892,0.7501874999999979,target
Exp3,Confirm-first,might_9.0,9,0.5378624999999994,0.00380343852076239,0.12951124999999872,target
Exp3,Confirm-first,might_9.5,9.5,0.5482125000000004,0.05803060666725557,0.7838660714285729,target
Exp3,Confirm-first,might_9.5,9.5,0.5482125000000004,0.00518717191361968,0.15124625000000097,target
Exp3,Conflict-first,might_10.0,10,0.2306100000000007,3.7210000000084587e-7,0.00265217391304649,filler
Exp3,Conflict-first,might_10.0,10,0.2306100000000007,0.01601056393673452,0.35429199999999805,filler
Exp3,Conflict-first,might_10.5,10.5,0.23791000000000057,6.256810000000879e-5,0.0343913043478285,filler
Exp3,Conflict-first,might_10.5,10.5,0.23791000000000057,0.01421647422244884,0.33385199999999843,filler
Exp3,Conflict-first,might_11.0,11,0.24324000000000592,1.752976000001566e-4,0.05756521739133006,filler
Exp3,Conflict-first,might_11.0,11,0.24324000000000592,0.01297386086530477,0.31892799999998345,filler
Exp3,Conflict-first,might_11.5,11.5,0.2462450000000008,2.639000250000265e-4,0.07063043478261223,filler
Exp3,Conflict-first,might_11.5,11.5,0.2462450000000008,0.01229833471887737,0.3105139999999977,filler
Exp3,Conflict-first,might_12.0,12,0.24950500000000075,3.8044502500002905e-4,0.08480434782609018,filler
Exp3,Conflict-first,might_12.0,12,0.24950500000000075,0.01158590829030596,0.3013859999999979,filler
Exp3,Conflict-first,might_12.5,12.5,0.2546200000000002,6.061444000000084e-4,0.1070434782608703,filler
Exp3,Conflict-first,might_12.5,12.5,0.2546200000000002,0.01051093623673465,0.2870639999999995,filler
Exp3,Conflict-first,might_3,3,0.1595200000000009,0.00496743039999987,0.3064347826086917,filler
Exp3,Conflict-first,might_3,3,0.1595200000000009,0.03905479366530576,0.5533439999999975,filler
Exp3,Conflict-first,might_3.5,3.5,0.1628949999999983,0.00450308102500023,0.29176086956522485,filler
Exp3,Conflict-first,might_3.5,3.5,0.1628949999999983,0.0377322300045925,0.5438940000000048,filler
Exp3,Conflict-first,might_4.0,4,0.16788000000000236,0.0038588943999997,0.27008695652172887,filler
Exp3,Conflict-first,might_4.0,4,0.16788000000000236,0.03582042909387666,0.5299359999999934,filler
Exp3,Conflict-first,might_4.5,4.5,0.17192500000000002,0.00337270562499999,0.25249999999999995,filler
Exp3,Conflict-first,might_4.5,4.5,0.17192500000000002,0.03430565460459183,0.5186099999999999,filler
