experiment,condition,model,memory,avg_accuracy,squared_error,ape,word_type,cond,block
Exp4,same target post-flush,might,3,0.4300499999999997,0.2899326422792798,0.5559646341463418,target,same target post-flush,post-flush
Exp4,same target post-flush,might,3.5,0.504,0.21576390749581495,0.47960975609756096,target,same target post-flush,post-flush
Exp4,same target post-flush,might,4,0.5775499999999997,0.15284498086195694,0.40366788617886207,target,same target post-flush,post-flush
Exp4,same target post-flush,might,4.5,0.6353999999999999,0.11095823285014576,0.34393658536585375,target,same target post-flush,post-flush
Exp4,same target post-flush,might,5,0.6802000000000006,0.08311916009423982,0.29767967479674734,target,same target post-flush,post-flush
Exp4,same target post-flush,might,5.5,0.712799999999999,0.06538450340132729,0.26401951219512293,target,same target post-flush,post-flush
Exp4,same target post-flush,might,6,0.7465500000000004,0.04926355015329511,0.22917195121951175,target,same target post-flush,post-flush
Exp4,same target post-flush,might,6.5,0.7650999999999998,0.04137316159030325,0.2100186991869921,target,same target post-flush,post-flush
Exp4,same target post-flush,might,7,0.7797999999999995,0.03560917584227185,0.19484065040650453,target,same target post-flush,post-flush
Exp4,same target post-flush,might,7.5,0.7863500000000004,0.03318005676746835,0.18807764227642224,target,same target post-flush,post-flush
Exp4,same target post-flush,might,8,0.7963500000000011,0.02963697802731065,0.17775243902438906,target,same target post-flush,post-flush
Exp4,same target post-flush,might,8.5,0.8056000000000006,0.02653769269266515,0.16820162601625946,target,same target post-flush,post-flush
Exp4,same target post-flush,might,9,0.81265,0.02429044968085435,0.1609223577235772,target,same target post-flush,post-flush
Exp4,same target post-flush,might,9.5,0.8191499999999996,0.0223065984997521,0.15421097560975647,target,same target post-flush,post-flush
Exp4,same target post-flush,might,10,0.8262499999999988,0.02023618259424051,0.14688008130081415,target,same target post-flush,post-flush
Exp4,same target post-flush,might,10.5,0.8268000000000005,0.02008000576353136,0.14631219512195062,target,same target post-flush,post-flush
Exp4,same target post-flush,might,11,0.8261500000000008,0.02026464338164151,0.14698333333333244,target,same target post-flush,post-flush
Exp4,same target post-flush,might,11.5,0.8242999999999995,0.02079477544857103,0.14889349593495985,target,same target post-flush,post-flush
Exp4,same target post-flush,might,12,0.8264000000000002,0.02019352891313774,0.14672520325203223,target,same target post-flush,post-flush
Exp4,same target post-flush,might,12.5,0.824799999999999,0.0206508215115633,0.14837723577235873,target,same target post-flush,post-flush
Exp4,same target pre-flush,might,3,0.3132500000000005,0.24676056249999959,0.613271604938271,target,same target pre-flush,pre-flush
Exp4,same target pre-flush,might,3.5,0.39520000000000016,0.1720590399999999,0.5120987654320986,target,same target pre-flush,pre-flush
Exp4,same target pre-flush,might,4,0.4693500000000008,0.11604242249999952,0.42055555555555463,target,same target pre-flush,pre-flush
Exp4,same target pre-flush,might,4.5,0.5457500000000008,0.06982806249999958,0.32623456790123356,target,same target pre-flush,pre-flush
Exp4,same target pre-flush,might,5,0.5982000000000006,0.04485923999999976,0.26148148148148076,target,same target pre-flush,pre-flush
