experiment,condition,model,memory,avg_accuracy,squared_error,ape
Suanda,highcd,might,1,0.3179750000000008,0.02625210062499974,0.3375520833333317
Suanda,highcd,might,1.5,0.3354749999999999,0.02088747562500002,0.30109375000000016
Suanda,highcd,might,2,0.35970000000000024,0.01447208999999993,0.2506249999999995
Suanda,highcd,might,2.5,0.3943499999999993,0.00733592250000011,0.1784375000000014
Suanda,highcd,might,3,0.43369999999999903,0.00214369000000008,0.09645833333333532
Suanda,highcd,might,3.5,0.4829249999999996,8.555624999997791e-6,0.00609374999999921
Suanda,highcd,might,4,0.5305750000000009,0.00255783062500009,0.10536458333333526
Suanda,highcd,might,4.5,0.593650000000002,0.01291632250000046,0.23677083333333757
Suanda,highcd,might,5,0.6531249999999983,0.02997226562499941,0.3606770833333298
Suanda,highcd,might,5.5,0.7184249999999995,0.05684648062499978,0.4967187499999991
Suanda,highcd,might,6,0.7716249999999998,0.08504514062499989,0.607552083333333
Suanda,highcd,might,6.5,0.8248750000000004,0.11893876562500026,0.7184895833333341
Suanda,highcd,might,7,0.8693249999999982,0.15157395562499865,0.8110937499999964
Suanda,highcd,might,7.5,0.9094749999999996,0.18444877562499967,0.8947395833333326
Suanda,lowcd,might,1,0.3141749999999977,6.669306250001197e-4,0.07595588235294799
Suanda,lowcd,might,1.5,0.3333750000000007,4.389062499999107e-5,0.01948529411764507
Suanda,lowcd,might,2,0.35400000000000054,1.9600000000001433e-4,0.0411764705882368
Suanda,lowcd,might,2.5,0.38090000000000057,0.00167281000000004,0.12029411764706044
Suanda,lowcd,might,3,0.4081499999999988,0.00464442249999983,0.2004411764705846
Suanda,lowcd,might,3.5,0.45042499999999985,0.01219368062499996,0.3247794117647054
Suanda,lowcd,might,4,0.4893499999999987,0.02230542249999959,0.43926470588234895
Suanda,lowcd,might,4.5,0.5361999999999995,0.03849443999999977,0.5770588235294101
Suanda,lowcd,might,5,0.5890999999999985,0.06205080999999925,0.7326470588235249
Suanda,lowcd,might,5.5,0.64585,0.0935442225,0.8995588235294117
Suanda,lowcd,might,6,0.7010749999999994,0.13037515562499957,1.0619852941176453
Suanda,lowcd,might,6.5,0.7481500000000002,0.16658642250000014,1.200441176470589
Suanda,lowcd,might,7,0.7923750000000002,0.20464314062500016,1.3305147058823532
Suanda,lowcd,might,7.5,0.8289999999999995,0.2391209999999995,1.4382352941176455
Suanda,medcd,might,1,0.31532499999999897,0.00557635562500015,0.19147435897436169
Suanda,medcd,might,1.5,0.33392500000000286,0.00314440562499968,0.143782051282044
Suanda,medcd,might,2,0.35677500000000073,0.00110390062499995,0.08519230769230585
Suanda,medcd,might,2.5,0.38919999999999927,6.400000000011913e-7,0.00205128205128396
Suanda,medcd,might,3,0.4255999999999991,0.00126735999999993,0.09128205128204891
Suanda,medcd,might,3.5,0.4735249999999995,0.00697642562499991,0.21416666666666528
Suanda,medcd,might,4,0.5267250000000006,0.01869372562500014,0.35057692307692445
Suanda,medcd,might,4.5,0.5803750000000008,0.03624264062500028,0.4881410256410275
Suanda,medcd,might,5,0.6440000000000008,0.06451600000000039,0.6512820512820533
Suanda,medcd,might,5.5,0.6969999999999985,0.09424899999999908,0.7871794871794833
Suanda,medcd,might,6,0.7602000000000001,0.1370480400000001,0.9492307692307694
Suanda,medcd,might,6.5,0.8108749999999997,0.17713576562499972,1.0791666666666655
Suanda,medcd,might,7,0.8550500000000005,0.2162715025000005,1.1924358974358986
Suanda,medcd,might,7.5,0.8903000000000006,0.25030009000000064,1.2828205128205143
