experiment,condition,model,memory,avg_accuracy,squared_error,ape
trueswell,exp 1,MIGHT,3,0.19496666666666723,2.8786777777779727e-4,0.09531835205992832
trueswell,exp 1,MIGHT,3.5,0.1964833333333335,3.4163361111111894e-4,0.10383895131086264
trueswell,exp 1,MIGHT,4,0.19861666666666705,4.250469444444607e-4,0.1158239700374554
trueswell,exp 1,MIGHT,4.5,0.201366666666666,5.460011111110804e-4,0.1312734082396967
trueswell,exp 1,MIGHT,5,0.20463333333333303,7.093344444444301e-4,0.1496254681647925
trueswell,exp 1,MIGHT,5.5,0.2018666666666662,5.696177777777556e-4,0.13408239700374272
trueswell,exp 1,MIGHT,6,0.20216666666666816,5.840277777778504e-4,0.13576779026218072
trueswell,exp 1,MIGHT,6.5,0.204516666666668,7.031336111111829e-4,0.14897003745319112
trueswell,exp 1,MIGHT,7,0.20688333333333447,8.342469444445108e-4,0.1622659176030027
trueswell,exp 1,MIGHT,7.5,0.21030000000000065,0.00104329000000004,0.1814606741573071
trueswell,exp 1,MIGHT,8,0.21499999999999753,0.00136899999999981,0.207865168539312
trueswell,exp 1,MIGHT,8.5,0.21480000000000193,0.00135424000000014,0.2067415730337188
trueswell,exp 1,MIGHT,9,0.21848333333333403,0.00163890027777783,0.22743445692884293
trueswell,exp 1,MIGHT,9.5,0.21951666666666864,0.00172363361111127,0.23323970037454295
trueswell,exp 1,MIGHT,10,0.21804999999999988,0.00160400249999999,0.2249999999999994
trueswell,exp 1,MIGHT,10.5,0.22141666666666585,0.00188500694444437,0.24391385767789803
trueswell,exp 1,MIGHT,11,0.22046666666666653,0.00180341777777776,0.23857677902621657
trueswell,exp 1,MIGHT,11.5,0.2226666666666662,0.00199511111111107,0.2509363295880125
trueswell,exp 1,MIGHT,12,0.22411666666666744,0.00212674694444451,0.25908239700374985
trueswell,exp 1,MIGHT,12.5,0.22434999999999905,0.0021483224999999098,0.26039325842696087
trueswell,exp 2,MIGHT,3,0.1955333333333346,7.004844444443768e-4,0.11921921921921348
trueswell,exp 2,MIGHT,3.5,0.20279999999999965,3.6864000000001366e-4,0.08648648648648809
trueswell,exp 2,MIGHT,4,0.20731666666666665,2.156002777777792e-4,0.06614114114114136
trueswell,exp 2,MIGHT,4.5,0.21253333333333355,8.961777777777328e-5,0.04264264264264157
trueswell,exp 2,MIGHT,5,0.22141666666666537,3.402777777793219e-7,0.00262762762763358
trueswell,exp 2,MIGHT,5.5,0.22521666666666543,1.034694444443663e-5,0.01448948948948401
trueswell,exp 2,MIGHT,6,0.2338333333333332,1.400277777777745e-4,0.05330330330330268
trueswell,exp 2,MIGHT,6.5,0.2401999999999988,3.3123999999995534e-4,0.08198198198197645
trueswell,exp 2,MIGHT,7,0.25386666666666624,0.00101548444444441,0.14354354354354162
trueswell,exp 2,MIGHT,7.5,0.2615166666666676,0.00156156694444451,0.17800300300300728
trueswell,exp 2,MIGHT,8,0.2767499999999977,0.00299756249999975,0.24662162162161133
trueswell,exp 2,MIGHT,8.5,0.28378333333333416,0.00381718027777788,0.27830330330330705
trueswell,exp 2,MIGHT,9,0.2935499999999998,0.00511940249999997,0.32229729729729645
trueswell,exp 2,MIGHT,9.5,0.3055333333333329,0.0069778177777777,0.3762762762762742
trueswell,exp 2,MIGHT,10,0.3106500000000023,0.0078588225000004,0.39932432432433473
trueswell,exp 2,MIGHT,10.5,0.32145000000000107,0.00989030250000021,0.4479729729729778
trueswell,exp 2,MIGHT,11,0.32935000000000036,0.01152402250000007,0.48355855855856017
trueswell,exp 2,MIGHT,11.5,0.3398500000000007,0.01388862250000016,0.530855855855859
trueswell,exp 2,MIGHT,12,0.3434999999999997,0.01476224999999992,0.5472972972972959
trueswell,exp 2,MIGHT,12.5,0.3483333333333328,0.01596011111111097,0.5690690690690665
trueswell,exp 3,MIGHT,3,0.20651666666666663,0.00428806694444444,0.24074754901960793
trueswell,exp 3,MIGHT,3.5,0.20901666666666804,0.0039669002777776,0.2315563725490146
trueswell,exp 3,MIGHT,4,0.2124166666666652,0.00355017361111128,0.21905637254902505
trueswell,exp 3,MIGHT,4.5,0.22188333333333243,0.00251168027777787,0.18425245098039553
trueswell,exp 3,MIGHT,5,0.22713333333333272,0.00201301777777783,0.1649509803921592
trueswell,exp 3,MIGHT,5.5,0.23208333333333275,0.00159334027777782,0.14675245098039436
trueswell,exp 3,MIGHT,6,0.2443500000000003,7.645224999999851e-4,0.10165441176470488
trueswell,exp 3,MIGHT,6.5,0.2493833333333327,5.11513611111139e-4,0.08314950980392384
trueswell,exp 3,MIGHT,7,0.262266666666666,9.473777777779148e-5,0.03578431372549278
