experiment,condition,model,memory,avg_accuracy,squared_error,ape
Yurovsky,1 both first meaning,might,3,0.3016943708343371,0.04941979275874125,0.4242473839039369
Yurovsky,1 both second meaning,might,3,0.33808984522461316,0.00212427383282879,0.15784193570073007
Yurovsky,1 both singleton,might,3,0.3523989338071968,0.0838687775400084,0.45109200341558137
Yurovsky,1 primacy first meaning,might,3,0.3179876601803512,0.0686504662177671,0.4517454134821531
Yurovsky,1 primacy singleton,might,3,0.35417130144605125,0.0828453597112599,0.4483313061587987
Yurovsky,1 recency second meaning,might,3,0.348354792560801,0.02612917308806168,0.3169513871356844
Yurovsky,1 recency singleton,might,3,0.360715873721654,0.0791207596961725,0.4381372683463333
Yurovsky,2 both first meaning,might,3,0.29816285998013903,0.00268708908543866,0.14810611434245988
Yurovsky,2 both second meaning,might,3,0.3218161942687593,0.00304525241498331,0.1463761425231849
Yurovsky,2 both singleton,might,3,0.3489043974185802,0.0511192215066553,0.3932097436198605
Yurovsky,2 primacy first meaning,might,3,0.30763989097322436,0.04681169677807825,0.4129009714251444
Yurovsky,2 primacy singleton,might,3,0.35372320561655085,0.02798152593920273,0.3210687032311884
Yurovsky,2 recency second meaning,might,3,0.32608695652173914,0.03644779017013232,0.3692708771339669
Yurovsky,2 recency singleton,might,3,0.34951998213887026,0.05404695870471118,0.39945020251053215
Yurovsky,1 both first meaning,might,3.5,0.30951239008792963,0.04600493480579247,0.40932749983219535
Yurovsky,1 both second meaning,might,3.5,0.34982094897045657,0.00334326213984414,0.19801694852896093
Yurovsky,1 both singleton,might,3.5,0.3645648312611012,0.07697027285318124,0.43214200738146225
Yurovsky,1 primacy first meaning,might,3.5,0.3326363073110285,0.06118879646072391,0.4264891253258129
Yurovsky,1 primacy singleton,might,3.5,0.3618280755937937,0.07849630722547701,0.4364048666763339
Yurovsky,1 recency second meaning,might,3.5,0.3627992633517495,0.0216680568697876,0.2886288953887265
Yurovsky,1 recency singleton,might,3.5,0.3698840008754651,0.0740471169795439,0.4238566964556619
Yurovsky,2 both first meaning,might,3.5,0.2983864328640816,0.00266396031249395,0.14746733467405246
Yurovsky,2 both second meaning,might,3.5,0.32941951484150966,0.00226390256791731,0.12620818344427143
Yurovsky,2 both singleton,might,3.5,0.35615475662080187,0.04789324054970044,0.3806004232681706
Yurovsky,2 primacy first meaning,might,3.5,0.3103448275862069,0.04564853269916766,0.4077388786522769
Yurovsky,2 primacy singleton,might,3.5,0.35788027332144984,0.02660804523168491,0.3130896865231289
Yurovsky,2 recency second meaning,might,3.5,0.33375152068126523,0.03358000517262877,0.35444580139020265
Yurovsky,2 recency singleton,might,3.5,0.36051534107834377,0.04905545413764238,0.380557833198722
Yurovsky,1 both first meaning,might,4,0.3169965441407477,0.04285043073767343,0.3950447630901762
Yurovsky,1 both second meaning,might,4,0.3544679273266592,0.00390224194448877,0.2139312579680111
Yurovsky,1 both singleton,might,4,0.37209985315712185,0.0728460892658072,0.42040521315090057
Yurovsky,1 primacy first meaning,might,4,0.3407727928338267,0.05722965664852716,0.4124607020106435
Yurovsky,1 primacy singleton,might,4,0.3765337980106005,0.07047230439867669,0.4134987569928342
Yurovsky,1 recency second meaning,might,4,0.3851851851851851,0.01557873799725654,0.24473493100944105
Yurovsky,1 recency singleton,might,4,0.37544822539334066,0.07104984854595933,0.4151896800726781
Yurovsky,2 both first meaning,might,4,0.30048959608323134,0.00245128009600157,0.1414582969050533
Yurovsky,2 both second meaning,might,4,0.3335252129864149,0.00189005710587658,0.11531773743656525
Yurovsky,2 both singleton,might,4,0.3683241252302026,0.04271491721186096,0.3594363039474737
Yurovsky,2 primacy first meaning,might,4,0.31919143496324703,0.04194654831241388,0.3908560401464751
Yurovsky,2 primacy singleton,might,4,0.3639291465378422,0.02467125300733065,0.30147956518648333
Yurovsky,2 recency second meaning,might,4,0.3394867176947321,0.03151096539478974,0.34335257699278127
Yurovsky,2 recency singleton,might,4,0.3681383370125092,0.04573681089577507,0.36745990204036216
Yurovsky,1 both first meaning,might,4.5,0.3305387362210837,0.03742726058293544,0.36920088507426774
Yurovsky,1 both second meaning,might,4.5,0.36603676847579286,0.00548144308633815,0.2535505769718934
Yurovsky,1 both singleton,might,4.5,0.39264134656883903,0.06217973804100185,0.3884091174940202
Yurovsky,1 primacy first meaning,might,4.5,0.3613883344422267,0.04779106031794371,0.3769166647547815
Yurovsky,1 primacy singleton,might,4.5,0.39116821420859416,0.06291658476330571,0.3907037161859904
Yurovsky,1 recency second meaning,might,4.5,0.3984755452043193,0.01243770401747382,0.2186754015601582
Yurovsky,1 recency singleton,might,4.5,0.3951653396456495,0.06092734955224759,0.3844776641033497
Yurovsky,2 both first meaning,might,4.5,0.30814192804807766,0.0017520981875323,0.11959449129120664
Yurovsky,2 both second meaning,might,4.5,0.3380478237912047,0.00151727203140104,0.10332142230449688
Yurovsky,2 both singleton,might,4.5,0.3796641109894123,0.03815610953555663,0.33971458958363077
Yurovsky,2 primacy first meaning,might,4.5,0.32503506311360447,0.03958704611020736,0.3797040780274724
Yurovsky,2 primacy singleton,might,4.5,0.3843359488520779,0.01867706287616187,0.2623110386716356
Yurovsky,2 recency second meaning,might,4.5,0.35434298440979956,0.02645730472071071,0.31461705143172236
Yurovsky,2 recency singleton,might,4.5,0.3816865725660514,0.04012546921033579,0.34418114679372613
Yurovsky,1 both first meaning,might,5,0.3465500265091267,0.03148849309191164,0.3386449875780025
Yurovsky,1 both second meaning,might,5,0.3738570697096043,0.00670057986144302,0.2803324305123436
Yurovsky,1 both singleton,might,5,0.4123234463276837,0.05275131930679242,0.35775164123413766
Yurovsky,1 primacy first meaning,might,5,0.38675120244862266,0.03734509775505321,0.3331875819851333
Yurovsky,1 primacy singleton,might,5,0.40864773208986854,0.05445328093880177,0.3634770528195194
Yurovsky,1 recency second meaning,might,5,0.4237674451223789,0.00743605352072194,0.16908344093651206
Yurovsky,1 recency singleton,might,5,0.40649796268496674,0.05546120957953132,0.3668256032944443
Yurovsky,2 both first meaning,might,5,0.30847212165097754,0.0017245646801712,0.11865108099720698
Yurovsky,2 both second meaning,might,5,0.34869259009515247,8.013094555210604e-4,0.07508596791736746
Yurovsky,2 both singleton,might,5,0.38747024453581475,0.0351674091844571,0.32613870515510474
Yurovsky,2 primacy first meaning,might,5,0.33448064861557286,0.03591758454917397,0.3616781514969984
Yurovsky,2 primacy singleton,might,5,0.38830359062567193,0.01760833706083926,0.2546956034056201
Yurovsky,2 recency second meaning,might,5,0.3588326332080477,0.02501691591789998,0.30593301120300254
Yurovsky,2 recency singleton,might,5,0.3888047866205306,0.03732439047273872,0.3319505384526966
Yurovsky,1 both first meaning,might,5.5,0.3597629165734736,0.0269738195724518,0.31342954852390537
Yurovsky,1 both second meaning,might,5.5,0.37915582538305864,0.00759613789820221,0.29847885405157076
Yurovsky,1 both singleton,might,5.5,0.43258387616446026,0.04385511292230212,0.32619333930769434
Yurovsky,1 primacy first meaning,might,5.5,0.4026968716289105,0.03143639933017503,0.3056950489156715
Yurovsky,1 primacy singleton,might,5.5,0.4328854363496396,0.04372890073068063,0.32572361939308475
Yurovsky,1 recency second meaning,might,5.5,0.4444906733236253,0.00429147188159198,0.12844966014975445
Yurovsky,1 recency singleton,might,5.5,0.42998173130972456,0.04495174625842184,0.3302465244396814
Yurovsky,2 both first meaning,might,5.5,0.31403383369073146,0.00129356511898596,0.10276047516933864
Yurovsky,2 both second meaning,might,5.5,0.3534271042643447,5.556814133640756e-4,0.06252757489563739
Yurovsky,2 both singleton,might,5.5,0.4063522549438042,0.02844206191253959,0.29330042618468827
Yurovsky,2 primacy first meaning,might,5.5,0.3497961033076574,0.03034699762279637,0.33245018452737135
Yurovsky,2 primacy singleton,might,5.5,0.4081986961451247,0.0127241341513599,0.2165092204508163
Yurovsky,2 recency second meaning,might,5.5,0.37498176513493803,0.02016917903418791,0.2746967792360967
Yurovsky,2 recency singleton,might,5.5,0.4057385759829968,0.03106808959650178,0.30285468044158625
Yurovsky,1 both first meaning,might,6,0.3758011049723757,0.02196291248740882,0.2828223187550083
Yurovsky,1 both second meaning,might,6,0.3913706689910656,0.00987452985573193,0.3403105102433754
Yurovsky,1 both singleton,might,6,0.4564975290596506,0.03441116672497519,0.288944658785591
Yurovsky,1 primacy first meaning,might,6,0.42623646784122265,0.02364322382194334,0.2651095382047885
Yurovsky,1 primacy singleton,might,6,0.4581692573402418,0.03379374194683825,0.28634072065382904
Yurovsky,1 recency second meaning,might,6,0.46218864279307253,0.00228592587796841,0.09374775922926956
Yurovsky,1 recency singleton,might,6,0.456101965687296,0.03455807916132728,0.2895608011101309
Yurovsky,2 both first meaning,might,6,0.3198861864671032,9.068417654940768e-4,0.08603946723684792
Yurovsky,2 both second meaning,might,6,0.3538269428529456,5.3699057754065e-4,0.06146699508502499
Yurovsky,2 both singleton,might,6,0.4223797432642121,0.02329294276609779,0.26542653345354406
Yurovsky,2 primacy first meaning,might,6,0.35823924433621135,0.02747662811823024,0.31633731996906234
Yurovsky,2 primacy singleton,might,6,0.4299118165784833,0.00829705715903187,0.1748333654923545
