experiment,condition,model,memory,avg_accuracy,squared_error,ape
yusmith,2x2,might,3,0.5749444444444468,0.09926000308641827,0.3539950062421946
yusmith,2x2,might,3.5,0.5920444444444459,0.08877751308641887,0.3347815230961282
yusmith,2x2,might,4,0.613744444444444,0.0763171319753089,0.3103995006242203
yusmith,2x2,might,4.5,0.6434555555555536,0.06078416308642074,0.27701622971286116
yusmith,2x2,might,5,0.6678444444444459,0.04935309086419689,0.2496129837702855
yusmith,2x2,might,5.5,0.6957888888888887,0.03771795567901243,0.21821473158551835
yusmith,2x2,might,6,0.7294222222222214,0.02578522271604964,0.18042446941323437
yusmith,2x2,might,6.5,0.757988888888889,0.01742693345679008,0.14832709113607973
yusmith,2x2,might,7,0.7885888888888919,0.01028421345678951,0.11394506866416644
yusmith,2x2,might,7.5,0.8188999999999994,0.00505521000000008,0.07988764044943888
yusmith,2x2,might,8,0.8463777777777782,0.0019028982716049,0.04901373283395706
yusmith,2x2,might,8.5,0.8702777777777778,3.88966049382715e-4,0.02215980024968786
yusmith,2x2,might,9,0.8898444444444445,2.4197530864169173e-8,1.7478152309602742e-4
yusmith,2x2,might,9.5,0.911677777777778,4.699260493827264e-4,0.02435705368289665
yusmith,2x2,might,10,0.9276999999999992,0.00142128999999992,0.0423595505617967
yusmith,2x2,might,10.5,0.9442666666666684,0.00294487111111129,0.06097378277153747
yusmith,2x2,might,11,0.9589111111111106,0.00474874123456782,0.07742821473158493
yusmith,2x2,might,11.5,0.9708111111111112,0.00653043567901237,0.09079900124843963
yusmith,2x2,might,12,0.9776666666666664,0.0076854444444444,0.0985018726591758
yusmith,2x2,might,12.5,0.9833888888888884,0.00872148456790116,0.10493133583021182
yusmith,3x3,might,3,0.38850000000000434,0.13801224999999678,0.4888157894736785
yusmith,3x3,might,3.5,0.40098888888888834,0.12888897790123496,0.4723830409356733
yusmith,3x3,might,4,0.4152666666666659,0.1188410711111116,0.4535964912280711
yusmith,3x3,might,4.5,0.430688888888888,0.1084458079012352,0.4333040935672527
yusmith,3x3,might,5,0.44889999999999974,0.09678321000000016,0.40934210526315823
yusmith,3x3,might,5.5,0.4739777777777791,0.08180871160493751,0.3763450292397643
yusmith,3x3,might,6,0.4935333333333344,0.07100448444444389,0.35061403508771793
yusmith,3x3,might,6.5,0.5161111111111113,0.0594817901234567,0.32090643274853775
yusmith,3x3,might,7,0.5386222222222219,0.04900812049382731,0.29128654970760276
yusmith,3x3,might,7.5,0.5649222222222215,0.03805533938271632,0.2566812865497085
yusmith,3x3,might,8,0.5958555555555557,0.02694339864197526,0.21597953216374252
yusmith,3x3,might,8.5,0.6230666666666657,0.01875073777777805,0.18017543859649257
yusmith,3x3,might,9,0.6480888888888904,0.01252409679012312,0.1472514619883021
yusmith,3x3,might,9.5,0.6787222222222232,0.00660607716049366,0.10694444444444312
yusmith,3x3,might,10,0.7061444444444434,0.00290042086419764,0.07086257309941665
yusmith,3x3,might,10.5,0.731866666666667,7.914844444444263e-4,0.0370175438596487
yusmith,3x3,might,11,0.7569111111111125,9.541234567892503e-6,0.00406432748537825
yusmith,3x3,might,11.5,0.7827888888888898,5.193334567901625e-4,0.02998538011696019
yusmith,3x3,might,12,0.8057444444444454,0.00209255419753094,0.06019005847953337
yusmith,3x3,might,12.5,0.8235666666666667,0.00404072111111111,0.08364035087719297
yusmith,4x4,might,3,0.28367777777777825,0.06067463716049361,0.46475890985324864
yusmith,4x4,might,3.5,0.291599999999999,0.05683456000000048,0.44981132075471886
yusmith,4x4,might,4,0.30155555555555635,0.05218686419753051,0.4310272536687616
yusmith,4x4,might,4.5,0.30821111111111155,0.04919031123456772,0.418469601677148
yusmith,4x4,might,5,0.32276666666666687,0.04294565444444437,0.39100628930817577
yusmith,4x4,might,5.5,0.3359555555555539,0.03765324641975374,0.36612159329140775
yusmith,4x4,might,6,0.35028888888888815,0.0322960834567904,0.33907756813417333
yusmith,4x4,might,6.5,0.36524444444444526,0.02714439308641949,0.3108595387840656
yusmith,4x4,might,7,0.38108888888888975,0.02217451901234543,0.28096436058700053
yusmith,4x4,might,7.5,0.39445555555555634,0.01837229641975288,0.25574423480083713
yusmith,4x4,might,8,0.41647777777777933,0.01288729493827125,0.21419287211739751
yusmith,4x4,might,8.5,0.4367222222222248,0.00870074382716002,0.1759958071278778
yusmith,4x4,might,9,0.45334444444444766,0.00587607419753037,0.14463312368972145
yusmith,4x4,might,9.5,0.4756111111111113,0.00295815123456788,0.10262054507337492
yusmith,4x4,might,10,0.4936222222222219,0.0013233427160494,0.0686373165618455
yusmith,4x4,might,10.5,0.5132666666666635,2.8000444444455e-4,0.0315723270440311
yusmith,4x4,might,11,0.5356444444444451,3.185975308642736e-5,0.01064989517819833
yusmith,4x4,might,11.5,0.5555111111111113,6.508167901234645e-4,0.04813417190775709
yusmith,4x4,might,12,0.5746333333333306,0.00199213444444419,0.08421383647798213
yusmith,4x4,might,12.5,0.595722222222223,0.00431941049382726,0.12400419287211888
