trace,memory,mse,mape,rmse
0.01,3,0.06647166660034018,0.39523918609826175,0.2578209972060852
0.01,3.25,0.06171695525939505,0.38812276451673355,0.24842897427513372
0.01,3.5,0.056537644989578605,0.3788453508411221,0.23777646012500608
0.01,3.75,0.05147830793509651,0.36758068265339033,0.22688831599510917
0.01,4,0.047271599612584286,0.3597162254508182,0.21742032934522082
0.01,4.25,0.043076247903649806,0.34393228405502685,0.20754818212562068
0.01,4.5,0.03911443058813055,0.3317768793216502,0.19777368527721415
0.01,4.75,0.035596286565584945,0.31971379725926796,0.18866978180298227
0.01,5,0.03214104693869622,0.3114399963710284,0.17927924291087413
0.01,5.25,0.029332492003705905,0.2946679662212842,0.17126731154457323
0.01,5.5,0.02673789092779343,0.2835001189565538,0.16351724963377237
0.01,5.75,0.02465490073723558,0.2705723717885456,0.1570187910322697
0.01,6,0.02240680987598302,0.2583572669871086,0.14968904394104138
0.01,6.25,0.02086841160639693,0.24447314789633035,0.14445903089248843
0.01,6.5,0.018801254769497462,0.2339539433922891,0.13711766760522678
0.01,6.75,0.01746132014193312,0.22383671064003172,0.13214128855862242
0.01,7,0.01653251664743147,0.2173535656136978,0.1285788343679918
0.01,7.25,0.015455571956736794,0.21435870149904135,0.12432044062316057
0.01,7.5,0.013995994633683048,0.20920069640338443,0.11830466868929158
0.01,7.75,0.014181051676433088,0.21216021518419428,0.11908422093809527
0.01,8,0.013029095906697034,0.2113105625486654,0.11414506518766825
0.01,8.25,0.013088808927676946,0.21191056718504137,0.1144063325505933
0.01,8.5,0.012582246927769575,0.215403539096332,0.11217061525983342
0.01,8.75,0.012761203748974425,0.21922135505380766,0.11296549804685688
0.01,9,0.012886039805717283,0.21814979762224262,0.11351669395167076
0.01,9.25,0.013324811415628697,0.22280175898717583,0.11543314695367486
0.01,9.5,0.013619237157411392,0.2220311999058338,0.11670148738302949
0.01,9.75,0.01426584263241313,0.22563728664378593,0.11943970291495676
0.01,10,0.014379696706180702,0.222574467374137,0.11991537310195345
0.01,10.25,0.015621726674794962,0.22753713237737175,0.12498690601336991
0.01,10.5,0.016412871768325087,0.23386913927014413,0.1281127307035686
0.08,3,0.06102976453631594,0.37519748280009735,0.24704202989838783
0.08,3.25,0.05714974828647665,0.3655375552851772,0.23906013529335385
0.08,3.5,0.0523238887499873,0.35636702212573673,0.22874415566301864
0.08,3.75,0.04660474273949756,0.3390582689302519,0.2158813163279712
0.08,4,0.04187670332540229,0.3300366729513158,0.20463798114084855
0.08,4.25,0.03818897382662786,0.3191171175865079,0.19541999341579117
0.08,4.5,0.034160463547193584,0.3054759227176073,0.18482549485174815
0.08,4.75,0.031080105711324864,0.2918406728184869,0.1762955067814403
0.08,5,0.02828530535671293,0.27798008192886686,0.16818235744783971
0.08,5.25,0.025349161401778314,0.2658862194949396,0.15921419974920048
0.08,5.5,0.02328591459821594,0.25457150786977834,0.15259722998211972
0.08,5.75,0.02131412875446968,0.24314867953603184,0.14599359148424865
0.08,6,0.019709526072712032,0.23055680327137595,0.14039061960370441
0.08,6.25,0.018388975200015416,0.21785271747908716,0.13560595562148225
0.08,6.5,0.016788359173607343,0.20961645128670153,0.12956990072392333
0.08,6.75,0.016262452802224152,0.20772879570467143,0.12752432239468733
0.08,7,0.015410186287297789,0.2078172111281792,0.1241377713965326
0.08,7.25,0.014936438508938834,0.21320644755656853,0.12221472296306543
0.08,7.5,0.014594790092470129,0.21010155227407132,0.1208088990615763
0.08,7.75,0.014349511460413725,0.21274983850019166,0.11978944636491866
0.08,8,0.01404771154930898,0.21879656765020208,0.11852304227157258
0.08,8.25,0.014026486184631677,0.2175934872166823,0.11843346733348507
0.08,8.5,0.013890261022041894,0.217640756359,0.11785695152192718
0.08,8.75,0.013872909612619813,0.22252943255493804,0.11778331635940556
0.08,9,0.014396224096920977,0.22326934462467338,0.11998426603901437
