trace,memory,mse,mape,rmse
0.01,1,0.004535338541666637,0.12835556498240316,0.06734492216690607
0.01,1.25,0.00320267187499998,0.10456966440422286,0.056592153828953884
0.01,1.5,0.002734682291666674,0.12044408308195116,0.0522941898461643
0.01,1.75,0.0029189270833333133,0.1335803952991449,0.05402709582545885
0.01,2,0.0040674687499999695,0.15709684514831523,0.06377671009075311
0.01,2.25,0.005544182291666664,0.17393044557566614,0.07445926598930898
0.01,2.5,0.008187359375000001,0.20665849673202624,0.09048402828676452
0.01,2.75,0.012830593749999989,0.2686243086978378,0.1132722108462618
0.01,3,0.018416906250000083,0.33760958710407313,0.1357089026188042
0.01,3.25,0.025038973958333304,0.39667978569632967,0.1582370814895589
0.01,3.5,0.03491238541666657,0.47073395864756107,0.18684856278994114
0.01,3.75,0.042308338541666796,0.5224814605329319,0.20568990870158602
0.01,4,0.049501291666666614,0.5669950351935643,0.22248885739889676
0.01,4.25,0.06641879166666663,0.6575909690799394,0.25771843485995843
0.01,4.5,0.07765876041666658,0.7110337324032172,0.2786732143867914
0.01,4.75,0.09351460416666682,0.7804353632478639,0.3058015764620366
0.01,5,0.10353609375000007,0.821407978255405,0.32177024994551634
0.01,5.25,0.12259742187499985,0.8935975992961281,0.35013914644752286
0.01,5.5,0.14108428125000005,0.9584122831825038,0.3756118758106565
0.01,5.75,0.15496498437500006,1.0041501696832582,0.39365592130056937
0.01,6,0.17301323437499994,1.0603789592760178,0.41594859583246574
0.01,6.25,0.18638131770833344,1.100734901332328,0.4317190263450679
0.01,6.5,0.2026677760416666,1.1475718011563598,0.450186379227167
0.01,6.75,0.21737379166666676,1.1880711098541983,0.4662336234836209
0.01,7,0.22883402604166672,1.2186832264957266,0.4783659959086418
0.01,7.25,0.23785182291666654,1.2420362776520861,0.4877005463567439
0.01,7.5,0.25271944791666673,1.2807382007290098,0.5027120924710949
0.08,1,0.0033271874999999855,0.10529788838612308,0.05768177788522113
0.08,1.25,0.00288269791666666,0.1222277212166914,0.05369076193039786
0.08,1.5,0.003000109375000005,0.13030103066867788,0.054773254193995126
0.08,1.75,0.00437021354166666,0.16421647184514843,0.06610759065089772
0.08,2,0.005093682291666692,0.16633004964806494,0.07137003777263042
0.08,2.25,0.008434687500000017,0.2142133295625946,0.0918405547674883
0.08,2.5,0.011420968749999934,0.2581023755656101,0.1068689325763102
0.08,2.75,0.018180406250000093,0.33191066490698923,0.13483473680769392
0.08,3,0.025947880208333267,0.4047613436400198,0.16108345727706885
0.08,3.25,0.035151276041666714,0.4757612179487183,0.1874867356419294
0.08,3.5,0.039992760416666724,0.5093298296882859,0.19998190022266196
0.08,3.75,0.05494288020833346,0.5970348636249377,0.234398976551378
0.08,4,0.06711507291666656,0.6602740855957763,0.259065769480776
0.08,4.25,0.08099492708333336,0.7263354700854702,0.28459607706947293
0.08,4.5,0.09716963020833352,0.7956000188536961,0.31172043598123866
0.08,4.75,0.11126038020833326,0.850850773001508,0.33355716183037243
0.08,5,0.12887073958333342,0.9159007352941179,0.3589857094416621
0.08,5.25,0.14628613541666657,0.9756932660884863,0.3824737055232249
0.08,5.5,0.15856259374999987,1.01545060331825,0.3981991885350846
0.08,5.75,0.18202204687499973,1.0871653469079932,0.4266404187076041
0.08,6,0.1989726562500001,1.1373786293363501,0.44606351145324596
0.08,6.25,0.20810043750000018,1.1622006975867274,0.45618026864387745
0.08,6.5,0.2225491979166665,1.2019321109854193,0.47175120340775656
0.08,6.75,0.23562667708333346,1.2362949346405232,0.48541392345433754
0.08,7,0.24331877083333325,1.2560685331825034,0.49327352537241775
0.08,7.25,0.2544073906250002,1.2854508389894423,0.5043881348971249
0.08,7.5,0.25759596874999996,1.2920079971090999,0.5075391302648495
0.15,1,0.002786718749999999,0.12850168112116664,0.05278938103444668
0.15,1.25,0.00305921354166668,0.13829813976872846,0.05531015767168523
0.15,1.5,0.004497588541666645,0.15950069130216155,0.06706406296718567
0.15,1.75,0.005854588541666713,0.17240722410759227,0.07651528305944319
0.15,2,0.008083104166666548,0.2051242772750113,0.089906085259378
0.15,2.25,0.012122359374999963,0.2616696518350926,0.11010158661436248
0.15,2.5,0.017918260416666675,0.32922990510306666,0.13385910658848232
0.15,2.75,0.024417192708333358,0.394139643036702,0.15626001634561978
0.15,3,0.033639354166666496,0.4650963109602805,0.18341034367414094
0.15,3.25,0.040831859374999814,0.5144537141779778,0.20206894708242484
0.15,3.5,0.05071151041666659,0.5739233754399191,0.22519216331095226
0.15,3.75,0.0626330625000001,0.6377380279034696,0.25026598350554974
0.15,4,0.0727951822916667,0.6881382761437911,0.26980582330940656
0.15,4.25,0.08747257291666656,0.7548379367772746,0.2957576252891319
0.15,4.5,0.10613738541666691,0.8316879556309712,0.32578733157792816
0.15,4.75,0.11943492708333332,0.88201003959276,0.34559358657725886
0.15,5,0.13879913020833337,0.9508052099044747,0.372557552880536
0.15,5.25,0.15097083854166662,0.9911552601809953,0.38854966032885246
0.15,5.5,0.16953744791666642,1.0500404568878827,0.41174925369290766
0.15,5.75,0.18370350520833345,1.0922629147812974,0.42860646892963883
0.15,6,0.2002753020833335,1.1403154851684267,0.4475212867376629
0.15,6.25,0.21177879687500012,1.1727395204876827,0.4601943033925997
0.15,6.5,0.22396471354166675,1.2055280605832077,0.47324910305426543
0.15,6.75,0.23667339062500015,1.2384312939919562,0.4864908946989657
